,fighter,birthday,height,weight,reach,stance
0,Zabit-Magomedsharipov,1991-03-01,73.0,145.0,73.0,Orthodox
1,Calvin-Kattar,1988-03-26,71.0,145.0,72.0,Orthodox
2,Alexander-Volkov,1988-10-24,79.0,250.0,80.0,Orthodox
3,Greg-Hardy,1988-07-28,77.0,265.0,80.0,Orthodox
4,Danny-Roberts,1987-07-14,73.0,170.0,74.0,Southpaw
5,Zelim-Imadaev,1995-01-25,72.0,170.0,76.0,Orthodox
6,Ed-Herman,1980-10-02,73.0,205.0,77.0,Orthodox
7,Khadis-Ibragimov,1995-05-21,75.0,205.0,78.0,Orthodox
8,Anthony-Rocco-Martin,1989-12-11,72.0,170.0,73.0,Orthodox
9,Ramazan-Emeev,1987-05-23,70.0,170.0,76.0,Southpaw
10,Shamil-Gamzatov,1990-08-09,74.0,205.0,76.0,Orthodox
11,Klidson-Abreu,1992-12-24,72.0,205.0,74.0,Orthodox
12,Magomed-Ankalaev,1992-06-02,75.0,205.0,75.0,Orthodox
13,Dalcha-Lungiambula,1987-07-31,68.0,205.0,76.0,Orthodox
14,Rustam-Khabilov,1986-11-04,68.0,155.0,73.0,Orthodox
15,Sergey-Khandozhko,1992-05-19,73.0,170.0,74.0,Orthodox
16,Karl-Roberson,1990-10-04,73.0,185.0,74.0,Southpaw
17,Roman-Kopylov,1991-05-04,72.0,185.0,75.0,Southpaw
18,David-Zawada,1990-08-01,72.0,170.0,75.0,Orthodox
19,Abubakar-Nurmagomedov,1989-11-13,71.0,170.0,72.0,Orthodox
20,Roosevelt-Roberts,1994-02-11,74.0,155.0,73.0,Orthodox
21,Alexander-Yakovlev,1984-07-18,75.0,155.0,74.0,Southpaw
22,Pannie-Kianzad,1991-12-08,67.0,135.0,66.0,
23,Jessica-Rose-Clark,1987-11-28,65.0,125.0,64.0,Orthodox
24,Davey-Grant,1985-12-18,68.0,135.0,69.0,
25,Grigorii-Popov,1984-04-18,67.0,135.0,68.0,Switch
26,Jorge-Masvidal,1984-11-12,71.0,170.0,74.0,Orthodox
27,Nate-Diaz,1985-04-16,72.0,170.0,76.0,Southpaw
28,Darren-Till,1992-12-24,72.0,185.0,74.0,Southpaw
29,Kelvin-Gastelum,1991-10-24,69.0,185.0,71.0,Southpaw
30,Stephen-Thompson,1983-02-11,72.0,170.0,75.0,Orthodox
31,Vicente-Luque,1991-11-27,71.0,170.0,75.0,Orthodox
32,Derrick-Lewis,1985-02-07,75.0,260.0,79.0,Orthodox
33,Blagoy-Ivanov,1986-10-09,71.0,250.0,73.0,Southpaw
34,Kevin-Lee,1992-09-04,69.0,170.0,77.0,Orthodox
35,Gregor-Gillespie,1986-11-13,67.0,155.0,71.0,Orthodox
36,Corey-Anderson,1989-09-22,75.0,205.0,79.0,Orthodox
37,Johnny-Walker,1992-03-30,78.0,205.0,82.0,Orthodox
38,Shane-Burgos,1991-03-19,71.0,145.0,75.0,Orthodox
39,Makwan-Amirkhani,1988-11-08,70.0,145.0,72.0,Southpaw
40,Edmen-Shahbazyan,1997-11-20,74.0,185.0,74.0,Orthodox
41,Brad-Tavares,1987-12-21,73.0,185.0,74.0,Orthodox
42,Jairzinho-Rozenstruik,1988-03-17,76.0,242.0,78.0,Orthodox
43,Andrei-Arlovski,1979-02-04,75.0,240.0,77.0,Orthodox
44,Katlyn-Chookagian,1988-12-28,69.0,125.0,68.0,Orthodox
45,Jennifer-Maia,1988-10-06,64.0,125.0,64.0,Orthodox
46,Lyman-Good,1985-05-26,72.0,170.0,74.0,Orthodox
47,Chance-Rencountre,1986-12-31,74.0,170.0,75.0,Southpaw
48,Hakeem-Dawodu,1991-07-02,68.0,145.0,73.0,Orthodox
49,Julio-Arce,1989-10-27,67.0,145.0,70.0,Southpaw
50,Demian-Maia,1977-11-06,73.0,170.0,72.0,Southpaw
51,Ben-Askren,1984-07-18,71.0,170.0,73.0,Orthodox
52,Stevie-Ray,1990-03-25,70.0,155.0,70.0,Southpaw
53,Michael-Johnson,1986-06-04,70.0,155.0,73.0,Southpaw
54,Beneil-Dariush,1989-05-06,70.0,155.0,72.0,Southpaw
55,Frank-Camacho,1989-05-18,70.0,170.0,73.0,Orthodox
56,Ciryl-Gane,1990-04-12,76.0,245.0,81.0,Orthodox
57,Don'Tale-Mayes,1992-01-16,78.0,260.0,81.0,Orthodox
58,Muslim-Salikhov,1984-06-09,71.0,170.0,70.0,Orthodox
59,Laureano-Staropoli,1993-02-27,73.0,170.0,71.0,Orthodox
60,Randa-Markos,1985-08-10,64.0,115.0,63.0,Orthodox
61,Ashley-Yoder,1987-10-20,67.0,115.0,69.0,Southpaw
62,Rafael-Fiziev,1993-03-05,68.0,155.0,71.0,Switch
63,Alex-White,1988-10-22,72.0,155.0,71.0,Southpaw
64,Movsar-Evloev,1994-02-11,67.0,145.0,72.0,Orthodox
65,Enrique-Barzola,1989-04-28,67.0,145.0,70.0,
66,Sergei-Pavlovich,1992-05-13,75.0,257.0,84.0,Southpaw
67,Maurice-Greene,1986-07-05,79.0,258.0,80.0,
68,Loma-Lookboonmee,1996-01-18,61.0,115.0,61.0,Orthodox
69,Alexandra-Albu,1990-07-14,62.0,115.0,63.0,Orthodox
70,Raphael-Pessoa,1989-03-09,75.0,262.0,78.0,Orthodox
71,Jeff-Hughes,1988-05-17,74.0,250.0,77.0,Orthodox
72,Dominick-Reyes,1989-12-26,76.0,205.0,77.0,Southpaw
73,Chris-Weidman,1984-06-17,74.0,205.0,78.0,Orthodox
74,Yair-Rodriguez,1992-10-06,71.0,145.0,71.0,Orthodox
75,Jeremy-Stephens,1986-05-25,69.0,145.0,71.0,Orthodox
76,Ben-Sosoli,1989-12-10,69.0,265.0,72.0,Southpaw
77,Joe-Lauzon,1984-05-22,70.0,155.0,71.0,Orthodox
78,Jonathan-Pearce,1992-05-01,72.0,155.0,71.0,Switch
79,Maycee-Barber,1998-05-18,65.0,125.0,65.0,Switch
80,Gillian-Robertson,1995-05-17,65.0,125.0,63.0,
81,Darren-Stewart,1990-12-30,72.0,185.0,74.0,Orthodox
82,Deron-Winn,1989-06-13,66.0,185.0,70.0,Orthodox
83,Charles-Rosa,1986-08-24,69.0,145.0,69.0,Switch
84,Manny-Bermudez,1994-07-16,70.0,145.0,71.0,Orthodox
85,Molly-McCann,1990-05-04,64.0,125.0,62.0,Orthodox
86,Diana-Belbita,1996-06-26,67.0,125.0,68.0,Orthodox
87,Sean-Woodson,1992-06-07,74.0,145.0,78.0,Orthodox
88,Kyle-Bochniak,1987-02-05,67.0,145.0,70.0,Orthodox
89,Randy-Costa,1994-07-06,69.0,135.0,73.0,Switch
90,Boston-Salmon,1990-11-20,69.0,135.0,69.0,Southpaw
91,Sean-Brady,1992-11-23,70.0,170.0,72.0,Orthodox
92,Court-McGee,1984-12-12,71.0,170.0,75.0,Orthodox
93,Brendan-Allen,1995-12-28,74.0,185.0,75.0,Orthodox
94,Kevin-Holland,1992-11-05,75.0,185.0,81.0,Orthodox
95,Tanner-Boser,1991-08-02,74.0,255.0,75.0,Orthodox
96,Daniel-Spitz,1990-07-31,79.0,245.0,82.0,Orthodox
97,Joanna-Jedrzejczyk,1987-08-18,66.0,125.0,65.0,Orthodox
98,Michelle-Waterson,1986-01-06,63.0,115.0,62.0,Orthodox
99,Cub-Swanson,1983-11-02,68.0,145.0,70.0,Orthodox
100,Kron-Gracie,1988-07-11,69.0,145.0,70.0,Southpaw
101,Niko-Price,1989-09-29,72.0,170.0,76.0,Orthodox
102,James-Vick,1987-02-23,75.0,155.0,76.0,Orthodox
103,Amanda-Ribas,1993-08-26,63.0,115.0,66.0,Orthodox
104,Mackenzie-Dern,1993-03-24,64.0,115.0,63.0,Orthodox
105,Matt-Frevola,1990-06-11,69.0,155.0,71.0,Orthodox
106,Luis-Pena,1993-07-05,75.0,155.0,75.0,Southpaw
107,Eryk-Anders,1987-04-21,73.0,205.0,75.0,Southpaw
108,Gerald-Meerschaert,1987-12-18,73.0,185.0,77.0,Southpaw
109,Ryan-Spann,1991-08-24,77.0,205.0,79.0,Orthodox
110,Devin-Clark,1990-04-12,72.0,205.0,75.0,Orthodox
111,Mike-Davis,1992-10-07,72.0,155.0,72.0,Orthodox
112,Thomas-Gifford,1992-07-26,73.0,155.0,75.0,Orthodox
113,Alex-Morono,1990-08-16,71.0,170.0,72.0,Orthodox
114,Max-Griffin,1985-11-29,71.0,170.0,76.0,Orthodox
115,Deiveson-Figueiredo,1987-12-18,65.0,125.0,68.0,Orthodox
116,Tim-Elliott,1986-12-24,67.0,135.0,66.0,Southpaw
117,Marlon-Vera,1992-12-02,68.0,135.0,70.0,Switch
