,fight,winner,odds_w,loser,odds_l
0,Joanna Jedrzejczyk vs Michelle Waterson,Joanna-Jedrzejczyk,1.34,Michelle-Waterson,3.7
1,Cub Swanson vs Kron Gracie,Cub-Swanson,2.71,Kron-Gracie,1.55
2,James Vick vs Niko Price,Niko-Price,1.71,James-Vick,2.4
3,Mackenzie Dern vs Amanda Ribas,Amanda-Ribas,2.45,Mackenzie-Dern,1.67
4,Luis Pena vs Matt Frevola,Matt-Frevola,2.38,Luis-Pena,1.71
5,Eryk Anders vs Gerald Meerschaert,Eryk-Anders,1.77,Gerald-Meerschaert,2.2
6,Ryan Spann vs Devin Clark,Ryan-Spann,1.62,Devin-Clark,2.6
7,Mike Davis vs Thomas Gifford,Mike-Davis,1.37,Thomas-Gifford,3.68
8,Max Griffin vs Alex Morono,Alex-Morono,2.2,Max-Griffin,1.81
9,Deiveson Figueiredo vs Tim Elliott,Deiveson-Figueiredo,1.59,Tim-Elliott,2.65
10,Marlon Vera vs Andre Ewell,Marlon-Vera,1.77,Andre-Ewell,2.3
11,Hector Aldana vs Miguel Baeza,Miguel-Baeza,1.44,Hector-Aldana,3.2
12,Marvin Vettori vs Andrew Sanchez,Marvin-Vettori,1.28,Andrew-Sanchez,4.19
13,J.J. Aldrich vs Lauren Mueller,J.J.-Aldrich,1.69,Lauren-Mueller,2.5
14,Robert Whittaker vs Israel Adesanya,Israel-Adesanya,1.91,Robert-Whittaker,2.13
15,Daniel Hooker vs Al Iaquinta,Daniel-Hooker,1.83,Al-Iaquinta,2.25
16,Tai Tuivasa vs Sergey Spivak,Sergey-Spivak,3.75,Tai-Tuivasa,1.34
17,Luke Jumeau vs Dhiego Lima,Dhiego-Lima,1.74,Luke-Jumeau,2.25
18,Yorgan De Castro vs Justin Tafa,Yorgan-De-Castro,2.0,Justin-Tafa,1.94
19,Jake Matthews vs Rostem Akman,Jake-Matthews,1.28,Rostem-Akman,5.0
20,Callan Potter vs Maki Pitolo,Callan-Potter,4.15,Maki-Pitolo,1.3
