,Weight class,Method,Round,Time,location,date,fighturl,eventurl,winner,loser
0,Featherweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/c3bb60dc82345a9f,http://ufcstats.com/event-details/8d5daf67983b65ba,Zabit Magomedsharipov,Calvin Kattar
1,Heavyweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/3cd1f2c31b4e325a,http://ufcstats.com/event-details/8d5daf67983b65ba,Alexander Volkov,Greg Hardy
2,Welterweight,KO/TKO  Punch,2,4:54,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/071a1cd551b7b4d5,http://ufcstats.com/event-details/8d5daf67983b65ba,Danny Roberts,Zelim Imadaev
3,Light Heavyweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/408fc024d3e91b0e,http://ufcstats.com/event-details/8d5daf67983b65ba,Ed Herman,Khadis Ibragimov
4,Welterweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/1317d7cd79495a0e,http://ufcstats.com/event-details/8d5daf67983b65ba,Anthony Rocco Martin,Ramazan Emeev
5,Light Heavyweight,S-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/f820c6292e19d854,http://ufcstats.com/event-details/8d5daf67983b65ba,Shamil Gamzatov,Klidson Abreu
6,Light Heavyweight,KO/TKO  Kick,3,0:29,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/343749a2f7c5d78b,http://ufcstats.com/event-details/8d5daf67983b65ba,Magomed Ankalaev,Dalcha Lungiambula
7,Welterweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/c8dfcbee63266273,http://ufcstats.com/event-details/8d5daf67983b65ba,Rustam Khabilov,Sergey Khandozhko
8,Middleweight,SUB  Rear Naked Choke,3,4:01,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/495e64df4c4ce7a7,http://ufcstats.com/event-details/8d5daf67983b65ba,Karl Roberson,Roman Kopylov
9,Welterweight,SUB  Triangle Choke,1,2:50,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/1af574c0814429ac,http://ufcstats.com/event-details/8d5daf67983b65ba,David Zawada,Abubakar Nurmagomedov
10,Lightweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/a7807ab56cb49cad,http://ufcstats.com/event-details/8d5daf67983b65ba,Roosevelt Roberts,Alexander Yakovlev
11,Women's Bantamweight,U-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/c814ef3b3a26e2fe,http://ufcstats.com/event-details/8d5daf67983b65ba,Pannie Kianzad,Jessica-Rose Clark
12,Bantamweight,S-DEC,3,5:00,"Moscow, Moscow, Russia",2019-11-09,http://ufcstats.com/fight-details/f0418c2c989a5cde,http://ufcstats.com/event-details/8d5daf67983b65ba,Davey Grant,Grigorii Popov
13,Welterweight,KO/TKO,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/ac0a63ad13897564,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Jorge Masvidal,Nate Diaz
14,Middleweight,S-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/7c40aa2cb6883a91,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Darren Till,Kelvin Gastelum
15,Welterweight,U-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/28deed0ab55ca350,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Stephen Thompson,Vicente Luque
16,Heavyweight,S-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/f870cacadb058733,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Derrick Lewis,Blagoy Ivanov
17,Lightweight,KO/TKO  Kick,1,2:47,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/d5955b81c26230ff,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Kevin Lee,Gregor Gillespie
18,Light Heavyweight,KO/TKO  Punches,1,2:07,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/a2af14e9dba37b03,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Corey Anderson,Johnny Walker
19,Featherweight,KO/TKO  Punch,3,4:32,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/216fddf542707629,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Shane Burgos,Makwan Amirkhani
20,Middleweight,KO/TKO  Kick,1,2:27,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/a3e8ef1ce72a7d02,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Edmen Shahbazyan,Brad Tavares
21,Heavyweight,KO/TKO  Punch,1,0:29,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/83f7c3b91a402306,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Jairzinho Rozenstruik,Andrei Arlovski
22,Women's Flyweight,U-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/515ecc54219bcc4c,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Katlyn Chookagian,Jennifer Maia
23,Welterweight,KO/TKO  Punch,3,2:03,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/a6c29d2cb319d923,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Lyman Good,Chance Rencountre
24,Featherweight,S-DEC,3,5:00,"New York City, New York, USA",2019-11-02,http://ufcstats.com/fight-details/d7cbe2f23d75afd1,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,Hakeem Dawodu,Julio Arce
25,Welterweight,SUB  Rear Naked Choke,3,3:54,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/241a0833e1c76804,http://ufcstats.com/event-details/df05aa15b2d66f57,Demian Maia,Ben Askren
26,Lightweight,M-DEC,3,5:00,"Kallang, Singapore",2019-10-26,http://ufcstats.com/fight-details/3162ae3ccbf785ac,http://ufcstats.com/event-details/df05aa15b2d66f57,Stevie Ray,Michael Johnson
