,fight,winner,loser,date,cumultime_w,cumulStr_Att_fighter_w,cumulStr_Att_oponent_w,cumulTD_Att_fighter_w,cumulTD_Att_oponent_w,KDPM_w,KDPM_ratio_w,SLPM_w,SLPM_ratio_w,SAPM_w,SAPM_ratio_w,Str_Acc_w,Str_Def_w,TD_Acc_w,TD_Def_w,SubPM_w,PassPM_w,RevPM_w,Head_SLPM_w,Body_SLPM_w,Leg_SLPM_w,Dist_SLPM_w,Clinch_SLPM_w,Ground_SLPM_w,wins_w,losses_w,cumultime_l,cumulStr_Att_fighter_l,cumulStr_Att_oponent_l,cumulTD_Att_fighter_l,cumulTD_Att_oponent_l,KDPM_l,KDPM_ratio_l,SLPM_l,SLPM_ratio_l,SAPM_l,SAPM_ratio_l,Str_Acc_l,Str_Def_l,TD_Acc_l,TD_Def_l,SubPM_l,PassPM_l,RevPM_l,Head_SLPM_l,Body_SLPM_l,Leg_SLPM_l,Dist_SLPM_l,Clinch_SLPM_l,Ground_SLPM_l,wins_l,losses_l,implied_prob_w,implied_prob_l,prev_w,prev_l,bday_w,height_w,weight_w,reach_w,stance_w,bday_l,height_l,weight_l,reach_l,stance_l,age_w,age_l
0,Joanna Jedrzejczyk vs Michelle Waterson,Joanna-Jedrzejczyk,Michelle-Waterson,2019-10-12,89.7,2662.0,2007.0,50.0,66.0,0.0036551711533892575,0.0,1.7115852682096517,0.2721723925651383,0.9708991646194438,0.2411321465399021,0.0019155986736815946,0.003949939401172497,0.041355042016806724,0.09750249750249751,0.001592610288262462,0.004777830864787386,0.0,0.8303642694588032,0.40789217558827373,0.473328823162575,1.371244912682494,0.29062226671557834,0.04971808881157957,9,3,39.766666666666666,516.0,667.0,14.0,16.0,0.0,0.0,1.1252745944590812,0.14383161138541747,1.5412843019992222,0.36442118502953674,0.007251909817046165,0.004489270444720468,0.24404761904761904,0.171875,0.0054273429538012515,0.021554304873667822,0.003592384145611304,0.49529287867720495,0.3542147105808656,0.2757670052010109,0.6666643833505778,0.29030622261257316,0.1683039884959305,5,2,0.7462686567164178,0.27027027027027023,12,7,1987-08-18,66.0,125.0,65.0,Orthodox,1986-01-06,63.0,115.0,62.0,Orthodox,32.0,33.0
1,Michelle Waterson vs Rose Namajunas,Rose-Namajunas,Michelle-Waterson,2017-04-15,26.633333333333333,603.0,428.0,18.0,16.0,0.0,0.0,1.5124109115020812,0.353095057346273,1.3823697456936466,0.1786459002286567,0.003308138500359215,0.006544364335944331,0.14629629629629629,0.1845238095238095,0.03689579701510784,0.11962811045496738,0.0,0.9693013991647851,0.4072048565838002,0.13590465575349592,0.9599870465506897,0.3433048189367113,0.20911904601468015,3,2,7.9833333333333325,36.0,77.0,2.0,4.0,0.0,0.0,0.4032345743384727,0.07351308133078666,1.71932874041651,1.036534446764092,0.020833333333333332,0.006633562515915457,0.5,0.0,0.02703473964043797,0.0,0.0,0.1184955503643077,0.12885214216686353,0.15588688180730148,0.31177376361460296,0.09146081072386973,0.0,2,0,0.4694835680751174,0.5235602094240838,5,2,1992-06-29,65.0,115.0,65.0,Orthodox,1986-01-06,63.0,115.0,62.0,Orthodox,24.0,31.0
2,Joanna Jedrzejczyk vs Tecia Torres,Joanna-Jedrzejczyk,Tecia-Torres,2018-07-28,73.7,2246.0,1738.0,50.0,42.0,0.004448695420068065,0.0,1.8453919814734905,0.29387613622690645,0.9835343346430057,0.27077706701611187,0.0019651957673360596,0.003922079336949114,0.041355042016806724,0.1141025641025641,0.001938360147315371,0.005815080441946113,0.0,0.9518363858496786,0.3777733569095849,0.5157822387142271,1.5024535603497753,0.2824267173733938,0.0605117037503214,8,2,50.88333333333333,1065.0,973.0,31.0,28.0,0.0028075429320106684,0.0,1.5911811680952148,0.29276102674180904,0.9722546019065617,0.10100528421119746,0.0038147923077794773,0.005568427059025912,0.10215053763440861,0.1488095238095238,0.01043511532251753,0.03851054464262421,0.0,0.9758572012440977,0.32249475449113696,0.29282921235998,1.2401886105685356,0.25071606837981997,0.10027648914685892,6,2,0.7352941176470588,0.26666666666666666,10,8,1987-08-18,66.0,125.0,65.0,Orthodox,1989-08-16,61.0,115.0,60.0,Orthodox,30.0,28.0
3,Tecia Torres vs Weili Zhang,Weili-Zhang,Tecia-Torres,2019-03-02,10.683333333333334,181.0,206.0,4.0,3.0,0.0,0.0,1.59822191206976,0.5093502441396357,1.2583562166016051,0.230705698816188,0.0058137283601832025,0.004141227104393954,0.08333333333333333,0.5,0.06419752588422864,0.05082556243426207,0.0,1.2090433197159818,0.2848651761196498,0.10431341623412836,0.4907692106003568,0.11635423400129283,0.9910984674681105,2,0,57.88333333333333,1143.0,1139.0,41.0,28.0,0.0024680185924067293,0.0,1.4801996110140607,0.26655194313668606,1.0076941753669175,0.12124860507459216,0.0039246113130901724,0.005306923224344686,0.07723577235772358,0.1488095238095238,0.009173166449653332,0.03385335237372062,0.0,0.8849921536665546,0.2884305622240997,0.3067768951234064,1.1617815308485944,0.23026831875879777,0.08814976140666866,6,3,0.5555555555555556,0.4166666666666667,2,9,1989-08-13,64.0,115.0,63.0,Switch,1989-08-16,61.0,115.0,60.0,Orthodox,29.0,29.0
4,Jessica Andrade vs Tecia Torres,Jessica-Andrade,Tecia-Torres,2018-02-24,69.93333333333334,1375.0,1768.0,48.0,34.0,0.0,0.0,1.3265700031470953,0.19621480358140383,2.1918921867924297,0.322482633322036,0.0044379093952865226,0.003312226620456607,0.1265625,0.11039915966386554,0.03035390999964998,0.046399507286139854,0.0,0.8941853792709131,0.3009725955791184,0.1314120282970638,0.7650275100199707,0.3708300622360957,0.19071243089102893,8,4,43.88333333333333,915.0,795.0,29.0,16.0,0.003255384949270251,0.0,1.620375060678359,0.32236969792736153,0.8278472734710614,0.0867334343702187,0.003937435855502889,0.006207463472976707,0.07471264367816093,0.25,0.012099660873393855,0.04139812541682611,0.0,0.9557291654162884,0.354404828724979,0.31024106653709144,1.239437404181009,0.2744318320951187,0.10650582440223112,6,1,0.6944444444444444,0.29411764705882354,12,7,1991-09-25,61.0,115.0,62.0,Orthodox,1989-08-16,61.0,115.0,60.0,Orthodox,26.0,28.0
5,Rose Namajunas vs Tecia Torres,Rose-Namajunas,Tecia-Torres,2016-04-16,12.633333333333333,205.0,162.0,14.0,9.0,0.0,0.0,1.7183996336340521,0.5897097625329816,1.4329415709252036,0.20568724429299354,0.006599162355259916,0.011036288814066592,0.15238095238095237,0.14285714285714285,0.0777829599342247,0.22958161393691393,0.0,1.240596579543401,0.36091095472039,0.11689209937026113,1.1531125334934067,0.2601220702272997,0.30516502991334565,2,1,21.0,409.0,319.0,17.0,4.0,0.006802721088435374,0.0,1.3945578231292517,0.30642629493204204,0.6326530612244897,0.07646619253762112,0.0035910593809007326,0.006502143752404726,0.06862745098039216,0.5,0.0,0.040816326530612235,0.0,0.9387755102040817,0.3129251700680272,0.14285714285714285,1.129251700680272,0.19727891156462582,0.06802721088435375,3,0,0.6211180124223602,0.37735849056603776,3,3,1992-06-29,65.0,115.0,65.0,Orthodox,1989-08-16,61.0,115.0,60.0,Orthodox,23.0,26.0
6,Joanna Jedrzejczyk vs Jessica Andrade,Joanna-Jedrzejczyk,Jessica-Andrade,2017-05-13,52.65,1504.0,1177.0,50.0,30.0,0.0,0.0,1.708950524911679,0.2766737983946182,0.9488745928206181,0.35194510324464845,0.0019455753368400877,0.003963630128225686,0.041355042016806724,0.11641025641025642,0.00271333604666938,0.00814000814000814,0.0,0.8969960943848387,0.36842263931228797,0.4435317912145525,1.3611288154541665,0.3067081178300562,0.04111359162745628,7,0,53.93333333333333,1066.0,1175.0,31.0,27.0,0.0,0.0,1.4378721878466871,0.24206169408798064,2.0051323199040816,0.3056421370769633,0.004934196071319304,0.0043236454902857244,0.18951612903225806,0.12314814814814816,0.03406123276133318,0.05810434669529548,0.0,0.9457890234833687,0.3567087708524574,0.13537439351086106,0.7930302559438424,0.40755874042021034,0.23728319148263446,7,3,0.6369426751592356,0.35714285714285715,7,10,1987-08-18,66.0,125.0,65.0,Orthodox,1991-09-25,61.0,115.0,62.0,Orthodox,29.0,25.0
7,Jessica Andrade vs Weili Zhang,Weili-Zhang,Jessica-Andrade,2019-08-31,17.683333333333334,243.0,348.0,5.0,11.0,0.0,0.0,1.2079199837696262,0.3346512111827852,1.2691859894831563,0.25813605366746134,0.00632162881043249,0.004050088539293588,0.06666666666666667,0.20454545454545456,0.03878474466709761,0.03070611264878604,0.0,0.843540780337365,0.2124936105088015,0.15188559292345954,0.49846256199862676,0.08645232906473689,0.6230050927062625,3,0,82.86666666666667,1751.0,2079.0,62.0,40.0,0.009178303498881586,0.0,1.6786230830217597,0.2149095096108241,2.258997575781982,0.29913608075906994,0.0043286849207931,0.0036170400138416567,0.1114247311827957,0.1063392857142857,0.02865870007616641,0.055991514795703835,0.001723939777037122,1.194562645783632,0.35571447875033424,0.12834595848779318,1.0517424622002138,0.3943392397729979,0.2325413810485477,11,4,0.3508771929824561,0.6172839506172839,3,15,1989-08-13,64.0,115.0,63.0,Switch,1991-09-25,61.0,115.0,62.0,Orthodox,30.0,27.0
8,Jessica Andrade vs Raquel Pennington,Raquel-Pennington,Jessica-Andrade,2015-09-05,25.983333333333334,572.0,455.0,17.0,11.0,0.0,0.0,0.8743154661664296,0.11101052610619407,1.1955548704300691,0.2407803870279816,0.0023491961081677903,0.004246612071114254,0.051470588235294115,0.16666666666666666,0.007722985105365115,0.016494089617886922,0.0,0.4959995243621872,0.2903474638421789,0.08796847796206358,0.5607990470081554,0.30801838928564534,0.005498029872628974,2,2,32.4,557.0,669.0,17.0,22.0,0.0,0.0,1.258718900044436,0.2720386775582748,1.7285851106513874,0.3031350806596848,0.005815243314955355,0.004780365620611484,0.20833333333333331,0.14204545454545456,0.04486452829532751,0.0715642382309049,0.0,0.8606787407956998,0.21619525518160998,0.1818449040671263,0.7478663131684573,0.20615043032197028,0.3047021565540084,4,2,0.3333333333333333,0.6666666666666666,4,6,1988-09-05,67.0,135.0,67.0,Orthodox,1991-09-25,61.0,115.0,62.0,Orthodox,26.0,23.0
9,Joanna Jedrzejczyk vs Karolina Kowalkiewicz,Joanna-Jedrzejczyk,Karolina-Kowalkiewicz,2016-11-12,43.65,1144.0,957.0,49.0,29.0,0.0,0.0,1.6260308164169508,0.255369426929591,1.0172437973986252,0.41781241752604875,0.0021426095337478074,0.004067361952136217,0.021790859200823187,0.08594164456233422,0.003272786777941417,0.009818360333824251,0.0,0.9215771905924801,0.3323840336976649,0.3720695921268059,1.321040827804396,0.2553993677835615,0.04959062082899365,6,0,21.0,506.0,563.0,16.0,15.0,0.0,0.0,1.5170068027210886,0.14516594516594516,1.4965986394557824,0.17759103641456583,0.0025270697984341164,0.003200415100915274,0.027777777777777776,0.06666666666666667,0.0,0.02040816326530612,0.0,1.08843537414966,0.2312925170068027,0.19727891156462582,1.129251700680272,0.36054421768707484,0.027210884353741496,3,0,0.7751937984496123,0.20202020202020202,6,3,1987-08-18,66.0,125.0,65.0,Orthodox,1985-10-15,63.0,115.0,64.0,Orthodox,29.0,31.0
