,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Michael Bisping Jason Day,0  0,25 of 43  7 of 12,58%  58%,40 of 61  8 of 13,2 of 2  0 of 0,100%  0%,0  0,3  0,0  0,25 of 43  7 of 12,18 of 36  3 of 7,3 of 3  0 of 1,4 of 4  4 of 4,4 of 13  7 of 12,4 of 5  0 of 0,17 of 25  0 of 0
0,Mike Swick Marcus Davis,0  0,32 of 86  31 of 55,37%  56%,71 of 131  82 of 107,2 of 2  3 of 5,100%  60%,1  2,7  0,0  0,32 of 86  31 of 55,14 of 61  20 of 41,13 of 20  3 of 4,5 of 5  8 of 10,6 of 21  13 of 33,9 of 20  14 of 17,17 of 45  4 of 5
0,Thales Leites Nate Marquardt,1  0,13 of 45  35 of 72,28%  48%,33 of 66  49 of 88,0 of 1  5 of 7,0%  71%,2  0,4  1,0  0,13 of 45  35 of 72,12 of 41  23 of 55,1 of 4  8 of 13,0 of 0  4 of 4,8 of 35  11 of 39,1 of 3  8 of 10,4 of 7  16 of 23
0,Fabricio Werdum Brandon Vera,0  0,15 of 36  15 of 22,41%  68%,23 of 50  20 of 27,2 of 4  0 of 0,50%  0%,0  0,3  0,0  0,15 of 36  15 of 22,10 of 29  6 of 12,2 of 3  5 of 5,3 of 4  4 of 5,2 of 11  3 of 8,5 of 7  10 of 12,8 of 18  2 of 2
0,Martin Kampmann Jorge Rivera,0  0,4 of 9  2 of 6,44%  33%,17 of 24  3 of 7,1 of 1  0 of 0,100%  0%,2  1,2  0,0  0,4 of 9  2 of 6,2 of 7  0 of 4,2 of 2  0 of 0,0 of 0  2 of 2,1 of 4  2 of 6,1 of 1  0 of 0,2 of 4  0 of 0
0,Matt Wiman Thiago Tavares,1  0,18 of 34  13 of 35,52%  37%,54 of 73  39 of 77,2 of 4  1 of 3,50%  33%,1  3,0  0,0  1,18 of 34  13 of 35,12 of 26  11 of 32,6 of 7  2 of 3,0 of 1  0 of 0,8 of 22  4 of 16,7 of 9  6 of 9,3 of 3  3 of 10
0,Kevin Burns  Roan Carneiro,0  0,8 of 13  12 of 30,61%  40%,55 of 61  36 of 57,0 of 0  2 of 6,0%  33%,1  0,0  4,0  0,8 of 13  12 of 30,7 of 11  10 of 28,0 of 1  1 of 1,1 of 1  1 of 1,4 of 9  2 of 7,1 of 1  0 of 0,3 of 3  10 of 23
0,Luiz Cane Jason Lambert,3  0,15 of 28  8 of 23,53%  34%,28 of 41  13 of 28,0 of 0  0 of 2,0%  0%,0  0,0  0,0  0,15 of 28  8 of 23,14 of 27  4 of 18,0 of 0  2 of 2,1 of 1  2 of 3,10 of 18  4 of 19,3 of 8  4 of 4,2 of 2  0 of 0
0,Paul Taylor Jess Liaudin,1  0,45 of 86  35 of 70,52%  50%,134 of 180  57 of 94,1 of 1  7 of 13,100%  53%,0  1,1  1,1  0,45 of 86  35 of 70,24 of 64  27 of 61,12 of 12  6 of 7,9 of 10  2 of 2,13 of 34  16 of 43,22 of 28  14 of 20,10 of 24  5 of 7
0,Antoni Hardonk  Eddie Sanchez,1  2,48 of 75  33 of 67,64%  49%,51 of 78  67 of 110,0 of 0  2 of 4,0%  50%,0  0,0  3,0  0,48 of 75  33 of 67,32 of 56  32 of 66,8 of 10  1 of 1,8 of 9  0 of 0,24 of 41  18 of 44,24 of 34  14 of 21,0 of 0  1 of 2
0,BJ Penn Sean Sherk,1  0,122 of 175  46 of 162,69%  28%,130 of 183  52 of 169,0 of 1  0 of 2,0%  0%,0  0,0  0,0  0,122 of 175  46 of 162,109 of 162  26 of 142,11 of 11  3 of 3,2 of 2  17 of 17,110 of 162  41 of 151,9 of 10  5 of 11,3 of 3  0 of 0
0,Wanderlei Silva Keith Jardine,2  0,11 of 18  1 of 4,61%  25%,11 of 18  1 of 4,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,11 of 18  1 of 4,11 of 18  0 of 3,0 of 0  0 of 0,0 of 0  1 of 1,5 of 10  1 of 4,0 of 0  0 of 0,6 of 8  0 of 0
0,Goran Reljic  Wilson Gouveia,1  1,33 of 63  33 of 73,52%  45%,39 of 74  38 of 78,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,33 of 63  33 of 73,27 of 53  22 of 59,5 of 9  4 of 4,1 of 1  7 of 10,22 of 44  17 of 43,0 of 0  9 of 11,11 of 19  7 of 19
