,0
0,http://www.espn.com/mma/fighter/_/id/2335673/jeremy-stephens
1,http://www.espn.com/mma/fighter/_/id/3093026/dooho-choi
2,http://www.espn.com/mma/fighter/_/id/3034823/paige-vanzant
3,http://www.espn.com/mma/fighter/_/id/3902226/jessica-rose-clark
4,http://www.espn.com/mma/fighter/_/id/3088812/kamaru-usman
5,http://www.espn.com/mma/fighter/_/id/4001846/emil-meek
6,http://www.espn.com/mma/fighter/_/id/2488476/michael-johnson
7,http://www.espn.com/mma/fighter/_/id/2504168/darren-elkins
8,http://www.espn.com/mma/fighter/_/id/2486970/james-krause
9,http://www.espn.com/mma/fighter/_/id/3097954/alex-white
10,http://www.espn.com/mma/fighter/_/id/3952413/polo-reyes
11,http://www.espn.com/mma/fighter/_/id/4081024/matt-frevola
12,http://www.espn.com/mma/fighter/_/id/3136286/irene-aldana
13,http://www.espn.com/mma/fighter/_/id/4257388/talita-bernardo
14,http://www.espn.com/mma/fighter/_/id/2504566/kyung-ho-kang
15,http://www.espn.com/mma/fighter/_/id/2989857/guido-cannetti
16,http://www.espn.com/mma/fighter/_/id/3005099/jessica-eye
17,http://www.espn.com/mma/fighter/_/id/3024386/kalindra-faria
18,http://www.espn.com/mma/fighter/_/id/3136289/jj-aldrich
19,http://www.espn.com/mma/fighter/_/id/4037323/danielle-taylor
20,http://www.espn.com/mma/fighter/_/id/2984784/mike-santiago
21,http://www.espn.com/mma/fighter/_/id/4251918/mads-burnell
22,http://www.espn.com/mma/fighter/_/id/2504951/stipe-miocic
23,http://www.espn.com/mma/fighter/_/id/3933168/francis-ngannou
24,http://www.espn.com/mma/fighter/_/id/2509290/daniel-cormier
25,http://www.espn.com/mma/fighter/_/id/3110836/volkan-oezdemir
26,http://www.espn.com/mma/fighter/_/id/3164030/calvin-kattar
27,http://www.espn.com/mma/fighter/_/id/4076470/shane-burgos
28,http://www.espn.com/mma/fighter/_/id/2552660/gian-villante
29,http://www.espn.com/mma/fighter/_/id/2996767/francimar-barroso
30,http://www.espn.com/mma/fighter/_/id/3071362/thomas-almeida
31,http://www.espn.com/mma/fighter/_/id/3090451/rob-font
32,http://www.espn.com/mma/fighter/_/id/3947005/kyle-bochniak
33,http://www.espn.com/mma/fighter/_/id/3960440/brandon-davis
34,http://www.espn.com/mma/fighter/_/id/2517121/sabah-homasi
35,http://www.espn.com/mma/fighter/_/id/3926500/abdul-razak-alhassan
