,,COUNTRY,DOB,HT/WT,NICKNAME,REACH,STANCE,TEAM,WEIGHT,WT CLASS
tito-ortiz,,USA,1/23/1975 (44),"6' 3"", 210 lbs",The People's Champ,"74""",Orthodox,Team Punishment,,Catch Weight
chuck-liddell,,USA,12/17/1969 (49),"6' 2"", 205 lbs",Iceman,"76.5""",Orthodox,The Pit,,Middleweight
forrest-griffin,,USA,7/1/1979,,,"77""",Orthodox,Xtreme Couture,,Light Heavyweight
keith-jardine,,USA,10/31/1975,,The Dean of Mean,"76""",Orthodox,Jackson-Wink MMA,,Light Heavyweight
chris-leben,,USA,7/21/1980,,The Crippler,"73""",Southpaw,Icon Fitness MMA,,Middleweight
jason-macdonald,,Canada,6/3/1975,,The Athlete,"80""",Orthodox,Pure Fitness and MMA,,Middleweight
andrei-arlovski,,Belarus,2/4/1979 (40),"6' 3"", 247 lbs",The Pit Bull,"77""",Orthodox,Jackson-Wink MMA,,Heavyweight
marcio-cruz,,Brazil,4/24/1978,,Pe de Pano,,Orthodox,,,Heavyweight
michael-bisping,,England,2/28/1979 (40),"6' 1"", 185 lbs",The Count,"75.5""",Orthodox,Wolfslair Academy,,Light Heavyweight
eric-schafer,,USA,9/20/1977,,Red,"76.5""",Orthodox,,,Light Heavyweight
thiago-alves,,Brazil,10/3/1983 (36),"5' 9"", 170 lbs",Pitbull,"70""",Orthodox,American Top Team,,Welterweight
tony-desouza,,Peru,7/26/1974,,The Peruvian Savage,"70.5""",Southpaw,,,Welterweight
gabriel-gonzaga,,Brazil,5/18/1979 (40),"6' 2"", 257 lbs",Napao,"76""",Orthodox,Team Link,,Heavyweight
carmelo-marrero,,USA,1/26/1981,,The Fury,"73""",Orthodox,American Top Team,,Heavyweight
yushin-okami,,Japan,7/21/1981 (38),"6' 2"", 170 lbs",Thunder,"75""",Southpaw,Wajutsu Keishukai Tokyo,,Welterweight
rory-singer,,USA,5/28/1976,,Outburst,"77""",Orthodox,,,Light Heavyweight
anthony-perosh,,Australia,5/10/1972 (47),"6' 3"", 205 lbs",The Hippo,"75""",Orthodox,Sinosic Perosh Martial Arts,,Light Heavyweight
christian-wellisch,,Hungary,4/17/1981,,,"77.5""",Orthodox,AKA (American Kickboxing Academy),,
assuerio-silva,,Brazil,6/18/1974,,,,Orthodox,,,Open Weight
tim-sylvia,,USA,5/3/1976,,The Maine-iac,"80""",Orthodox,,,Heavyweight
james-irvin,,USA,9/12/1978,,The Sandman,"75""",Orthodox,,,Light Heavyweight
stephan-bonnar,,USA,4/4/1977,,The American Psycho,"79""",Orthodox,One Kick's MMA,,Light Heavyweight
joshua-burkman,,USA,4/10/1980 (39),"5' 10"", 170 lbs",The People's Warrior,"72""",Orthodox,The Pit Elevated Fight Team,,Welterweight
drew-fickett,,,12/14/1979,,,"70""",Orthodox,,,Welterweight
jorge-rivera,,USA,2/28/1972,,El Conquistador,"73""",Orthodox,,,Middleweight
melvin-guillard,,USA,3/30/1983 (36),"5' 9"", 155 lbs",The Young Assassin,"68""",Orthodox,Grudge Training Center,,Lightweight
josh-neer,,USA,3/24/1983 (36),"5' 11"", 185 lbs",The Dentist,"72.5""",Orthodox,Cesar Gracie Jiu-Jitsu,,Lightweight
jonathan-goulet,,Canada,7/13/1979,,The Road Warrior,"73.5""",Orthodox,,,
duane-ludwig,,USA,8/4/1978,,Bang,"70""",Orthodox,Grudge Training Center,,Welterweight
spencer-fisher,,USA,5/9/1976,,The King,"70""",Southpaw,Miletich Martial Arts,,Lightweight
aaron-riley,,USA,12/9/1980,,,"69""",Southpaw,Jackson-Wink MMA,,Lightweight
alex-karalexis,,USA,9/20/1977,,The Assassin,"66""",Orthodox,Team Sityodtong,,Welterweight
jason-von-flue,,,,,Livewire,,Orthodox,,,Lightweight
