,fight,winner,loser,date,cumultime_w,cumulStr_Att_fighter_w,cumulStr_Att_oponent_w,cumulTD_Att_fighter_w,cumulTD_Att_oponent_w,KDPM_w,KDPM_ratio_w,SLPM_w,SLPM_ratio_w,SAPM_w,SAPM_ratio_w,Str_Acc_w,Str_Def_w,TD_Acc_w,TD_Def_w,SubPM_w,PassPM_w,RevPM_w,Head_SLPM_w,Body_SLPM_w,Leg_SLPM_w,Dist_SLPM_w,Clinch_SLPM_w,Ground_SLPM_w,wins_w,losses_w,cumultime_l,cumulStr_Att_fighter_l,cumulStr_Att_oponent_l,cumulTD_Att_fighter_l,cumulTD_Att_oponent_l,KDPM_l,KDPM_ratio_l,SLPM_l,SLPM_ratio_l,SAPM_l,SAPM_ratio_l,Str_Acc_l,Str_Def_l,TD_Acc_l,TD_Def_l,SubPM_l,PassPM_l,RevPM_l,Head_SLPM_l,Body_SLPM_l,Leg_SLPM_l,Dist_SLPM_l,Clinch_SLPM_l,Ground_SLPM_l,wins_l,losses_l,implied_prob_w,implied_prob_l,prev_w,prev_l
0,Charles Oliveira vs Jared Gordon,Charles-Oliveira,Jared-Gordon,2019-11-16,77.93333333333332,953.0,1027.0,67.0,32.0,0.00808287766473902,0.0,1.7598671499028609,0.38718808410584116,1.6036312776854225,0.3383890364518083,0.011882488990740934,0.012622165713774443,0.15691402295879905,0.1609375,0.1362638526591022,0.10710678665070061,0.0065468078318263396,0.9559285548742001,0.478179808964169,0.325758786064492,1.0530049278765037,0.3628543337106877,0.3440078883156696,15,8,26.016666666666666,621.0,508.0,28.0,6.0,0.0,0.0,2.4102686045777437,0.394071597940813,1.828343547608476,0.21939538131552658,0.004365205645007599,0.0059970788296756245,0.059311224489795915,0.16666666666666666,0.0,0.13460459163172478,0.01098197126384186,2.0590095320688526,0.1896325336634485,0.1616265388454432,1.328531314454597,0.2402585027453288,0.8414787873778181,3,2,0.7936507936507936,0.2127659574468085,23,5
3,Sergio Moraes vs James Krause,James-Krause,Sergio-Moraes,2019-11-16,55.53333333333333,1144.0,1260.0,47.0,21.0,0.0,0.0,1.7247060441521136,0.2587722497299447,1.4255464240489737,0.16380435213571654,0.0042263465909844495,0.004917765115505456,0.04075711522520033,0.082010582010582,0.025363215328856756,0.034027404065074304,0.008828522634044843,1.2669406491374557,0.26707099138620477,0.19069440362845283,1.532489261531253,0.1375985155175992,0.0546182671032611,7,3,69.4,840.0,1340.0,28.0,3.0,0.0033509818376784395,0.01440922190201729,0.8452652715034258,0.16018490493425505,1.1871884880482522,0.251536679306628,0.006439455030530107,0.005690256712300612,0.15584415584415584,0.6666666666666666,0.012324299842864183,0.041478912166396965,0.0,0.6450586993861753,0.1496549353973501,0.0505516367199001,0.7585358986882137,0.02080846242970749,0.06592091038550446,8,4,0.641025641025641,0.36363636363636365,10,12
4,Francisco Trinaldo vs Bobby Green,Francisco-Trinaldo,Bobby-Green,2019-11-16,108.65000000000002,1535.0,1373.0,35.0,66.0,0.008388405349169419,0.0,1.0736904301552623,0.3120076767586268,0.8086562373973261,0.15310269145777114,0.006037840298953713,0.00803088550097676,0.17333333333333334,0.15741341991341992,0.013636575445601568,0.03972061547242333,0.003096231292718978,0.6537914668518997,0.3076176409082479,0.11228132239511486,0.6745966589332608,0.20146525973803633,0.19762851148396515,13,6,55.13333333333333,1072.0,1127.0,26.0,34.0,0.004731612428368645,0.0,1.555384593216524,0.3354957171366323,1.2466355454816944,0.14838298670890257,0.004217402597901067,0.005083483878962508,0.075,0.13071895424836602,0.0054177986463355265,0.029444557860519166,0.008244476200945367,0.7560425915921651,0.44285064941576924,0.35649135220858963,1.1646658627923325,0.23383812614334526,0.15688060428084613,5,4,0.5747126436781609,0.4444444444444444,19,9
5,Warlley Alves vs Randy Brown,Randy-Brown,Warlley-Alves,2019-11-16,36.28333333333333,643.0,503.0,12.0,35.0,0.01702916130734048,0.0,1.923553632203856,0.43845660461701885,1.3697098430040768,0.19451137975169014,0.00585407153713784,0.00898936034619421,0.2569444444444444,0.15540816326530615,0.02375746277793996,0.024630804987814316,0.003937266224817901,1.2573167355025874,0.41945455182620256,0.246782344875066,1.0299640517525062,0.5506641195964715,0.34292546085487846,5,3,52.71666666666667,762.0,864.0,18.0,15.0,0.01090074636033122,0.0,1.2145909531821737,0.2571736947546852,1.399808800777841,0.23105894544031763,0.006138308355810626,0.005600804038811242,0.20105820105820105,0.3777777777777778,0.03287318992678658,0.037237077235223556,0.0,0.6883169773897494,0.2906299498358394,0.23564402595658474,0.8809420194897853,0.22045640359672922,0.11319253009565908,7,3,0.45454545454545453,0.5555555555555556,8,10
6,Douglas Silva de Andrade vs Renan Barao,Douglas-Silva-de-Andrade,Renan-Barao,2019-11-16,37.15,788.0,829.0,8.0,20.0,0.00976143641015781,0.0,1.3129624973501153,0.14163388188301518,1.6006290703464323,0.24098617433662045,0.0026834666527780653,0.0041497959094019795,0.2916666666666667,0.1625,0.0,0.007690828686791002,0.003845414343395501,0.7954584670600823,0.23447167457934617,0.28303235571068686,1.2332194499085483,0.058445368001222645,0.02129767944034431,3,3,92.30000000000001,2350.0,2116.0,50.0,40.0,0.014223019983190463,0.0,1.7900112034926525,0.23799806618230834,1.7841789911018673,0.19032505806722164,0.0026712378015735535,0.0046020532930757686,0.08492063492063492,0.26875,0.009106551512572104,0.023069688385831583,0.0,0.9978314974009675,0.4708967000928135,0.32128300599887183,1.4948227886416465,0.2087777959787734,0.0864106188722325,9,7,0.6896551724137931,0.3076923076923077,6,16
8,Zabit Magomedsharipov vs Calvin Kattar,Zabit-Magomedsharipov,Calvin-Kattar,2019-11-09,30.633333333333333,534.0,451.0,44.0,9.0,0.0,0.0,1.4835157745693772,0.2981858756133428,0.81302337724725,0.091478280803541,0.005401953890088219,0.006800875564238366,0.06257624950806769,0.1904761904761905,0.024036142690634817,0.09255304472222671,0.01718771364416442,1.0757818611345602,0.18833747035478599,0.21939644308003112,1.0884450743465741,0.09223118273598474,0.3028395174868184,5,0,24.816666666666663,583.0,698.0,6.0,5.0,0.0353666798857293,0.0,2.4671712129647236,0.21635601272980481,2.8142089204708536,0.25097844170585165,0.003835912244610135,0.004178442222777618,0.1111111111111111,0.5,0.0,0.0,0.0,2.008886519606025,0.27210736285985204,0.18617733049884622,2.1935302427000933,0.041318960228791946,0.2323220100358383,4,1,0.7246376811594204,0.2857142857142857,5,5
9,Greg Hardy vs Alexander Volkov,Alexander-Volkov,Greg-Hardy,2019-11-09,30.95,780.0,480.0,8.0,27.0,0.012847997413495259,0.0,2.4721460704283356,0.39593727487238606,1.1066176023486276,0.09188589307958803,0.0038212518801323593,0.005634038845735738,0.375,0.12654320987654322,0.0,0.02009421587493326,0.0,1.6381544934024137,0.47438436623395897,0.3596072107919633,1.937701273935728,0.2764295094826434,0.25801528700996457,4,1,6.466666666666667,132.0,40.0,0.0,6.0,0.0,0.0,9.678495902722707,4.394329896907217,1.2225746761829235,0.08792087755827536,0.014145152179691653,0.04595238095238095,,0.4444444444444444,0.0,0.0,0.0,8.977993655828707,0.5666798836901928,0.1338223632038065,2.0641686492201954,0.4051017710811525,7.209225482421359,2,1,0.7352941176470588,0.2597402597402597,5,3
16,Alexander Yakovlev vs Roosevelt Roberts,Roosevelt-Roberts,Alexander-Yakovlev,2019-11-09,18.833333333333332,207.0,204.0,7.0,8.0,0.0,0.0,0.8129386634116571,0.20619469026548673,0.7925367278434109,0.16600999682213088,0.00694200052168127,0.008207543443419972,0.16666666666666666,0.1875,0.010985657613671042,0.0606826801517067,0.0,0.5877326823314007,0.14255198570120756,0.08265399537904879,0.597148960285976,0.07166833776537775,0.14412136536030343,2,1,41.18333333333333,315.0,472.0,22.0,36.0,0.009564625689075162,0.0,0.6240837551671321,0.16098583044269918,0.8062207107728265,0.2804436787217691,0.012368036755482714,0.008056879298816145,0.1318181818181818,0.09241103848946987,0.005827600161877784,0.03216268668739083,0.003468809620165347,0.3136607521652951,0.16674403001426558,0.14367897298757146,0.43516802909859237,0.09251997407826786,0.09639575199027185,3,4,0.5434782608695652,0.4672897196261682,3,7
17,Jessica-Rose Clark vs Pannie Kianzad,Pannie-Kianzad,Jessica-Rose-Clark,2019-11-09,10.183333333333334,122.0,172.0,4.0,7.0,0.0,0.0,1.0490545435404521,0.14387588095794782,1.4277512617715358,0.26985332696418923,0.007252211873977625,0.006502096835684331,0.125,0.2857142857142857,0.03084806471238464,0.0,0.0,0.6732222884612324,0.31971815641192936,0.056114098667290155,0.5974976343696407,0.4375283845039888,0.014028524666822539,0,2,21.0,411.0,488.0,6.0,7.0,0.0,0.0,1.4081632653061225,0.15874089058168658,1.2653061224489794,0.13995752516428114,0.003670537067472031,0.0036809820522729284,0.2222222222222222,0.2619047619047619,0.013605442176870748,0.047619047619047616,0.013605442176870748,0.8639455782312925,0.27891156462585037,0.26530612244897955,1.1156462585034015,0.1292517006802721,0.16326530612244897,2,1,0.5128205128205129,0.49751243781094534,2,3
18,Jorge Masvidal vs Nate Diaz,Jorge-Masvidal,Nate-Diaz,2019-11-02,99.59999999999998,1778.0,1524.0,31.0,81.0,0.1381487939607003,0.010040160642570283,1.86407357425101,0.26765833378402604,0.9954753302076919,0.11789522545197284,0.005145534982323847,0.006247599124850077,0.17580645161290323,0.12560258671369784,0.01020885061224693,0.017942841800948323,0.0014343086632243262,1.2885216594709539,0.3666552768357112,0.20889663794434465,1.181561673757475,0.24625661601591498,0.4362552844776196,11,6,135.45000000000002,2981.0,2376.0,66.0,89.0,0.007138115032163062,0.0,1.605860040521059,0.3817706972060781,1.252412446827672,0.28632632112665707,0.003516629938062026,0.005738210746473444,0.13076872622327168,0.0934797412325502,0.04167037950224834,0.026058141187448723,0.008309516001072494,1.2288360052229064,0.24075857481644225,0.13626546048171007,1.1149768820674006,0.3822944822244619,0.10858867622919643,15,9,0.5847953216374269,0.42016806722689076,17,24
