,fight,winner,odds_w,loser,odds_l
0,Jan Blachowicz vs Ronaldo Souza,Jan-Blachowicz,1.74,Ronaldo-Souza,2.45
1,Charles Oliveira vs Jared Gordon,Charles-Oliveira,1.26,Jared-Gordon,4.7
2,Antonio Arroyo vs Andre Muniz,Andre-Muniz,1.83,Antonio-Arroyo,2.15
3,Wellington Turman vs Markus Perez,Wellington-Turman,1.94,Markus-Perez,2.31
4,Sergio Moraes vs James Krause,James-Krause,1.56,Sergio-Moraes,2.75
5,Ricardo Ramos vs Luiz Garagorri,Ricardo-Ramos,1.29,Luiz-Garagorri,4.4
6,Francisco Trinaldo vs Bobby Green,Francisco-Trinaldo,1.74,Bobby-Green,2.25
7,Warlley Alves vs Randy Brown,Randy-Brown,2.2,Warlley-Alves,1.8
8,Douglas Silva de Andrade vs Renan Barao,Douglas-Silva-de-Andrade,1.45,Renan-Barao,3.25
9,Ariane Lipski vs Isabela de Padua,Ariane-Lipski,0.0,Isabela-de-Padua,0.0
10,Tracy Cortez vs Vanessa Melo,Tracy-Cortez,1.48,Vanessa-Melo,3.05
