,f1_odds,f2_odds,fight,f1,f2
2,1.34,3.7,Joanna Jedrzejczyk vs Michelle Waterson,Joanna Jedrzejczyk,Michelle Waterson
2,2.71,1.55,Cub Swanson vs Kron Gracie,Cub Swanson,Kron Gracie
2,2.4,1.71,James Vick vs Niko Price,James Vick,Niko Price
2,1.67,2.45,Mackenzie Dern vs Amanda Ribas,Mackenzie Dern,Amanda Ribas
2,1.71,2.38,Luis Pena vs Matt Frevola,Luis Pena,Matt Frevola
2,1.77,2.2,Eryk Anders vs Gerald Meerschaert,Eryk Anders,Gerald Meerschaert
2,1.62,2.6,Ryan Spann vs Devin Clark,Ryan Spann,Devin Clark
2,1.37,3.68,Mike Davis vs Thomas Gifford,Mike Davis,Thomas Gifford
2,1.81,2.2,Max Griffin vs Alex Morono,Max Griffin,Alex Morono
2,1.59,2.65,Deiveson Figueiredo vs Tim Elliott,Deiveson Figueiredo,Tim Elliott
2,1.77,2.3,Marlon Vera vs Andre Ewell,Marlon Vera,Andre Ewell
2,3.2,1.44,Hector Aldana vs Miguel Baeza,Hector Aldana,Miguel Baeza
2,1.28,4.19,Marvin Vettori vs Andrew Sanchez,Marvin Vettori,Andrew Sanchez
2,1.69,2.5,J.J. Aldrich vs Lauren Mueller,J.J. Aldrich,Lauren Mueller
2,2.13,1.91,Robert Whittaker vs Israel Adesanya,Robert Whittaker,Israel Adesanya
2,1.83,2.25,Daniel Hooker vs Al Iaquinta,Daniel Hooker,Al Iaquinta
2,1.34,3.75,Tai Tuivasa vs Sergey Spivak,Tai Tuivasa,Sergey Spivak
2,2.25,1.74,Luke Jumeau vs Dhiego Lima,Luke Jumeau,Dhiego Lima
2,2.0,1.94,Yorgan De Castro vs Justin Tafa,Yorgan De Castro,Justin Tafa
2,1.28,5.0,Jake Matthews vs Rostem Akman,Jake Matthews,Rostem Akman
2,4.15,1.3,Callan Potter vs Maki Pitolo,Callan Potter,Maki Pitolo
2,1.62,2.5,Brad Riddell vs Jamie Mullarkey,Brad Riddell,Jamie Mullarkey
2,1.24,5.2,Megan Anderson vs Zara Fairn Dos Santos,Megan Anderson,Zara Fairn Dos Santos
2,2.6,1.59,Nadia Kassem vs Ji Yeon Kim,Nadia Kassem,Ji Yeon Kim
2,1.49,2.95,Khalid Taha vs Bruno Silva,Khalid Taha,Bruno Silva
2,1.38,3.5,Jack Hermansson vs Jared Cannonier,Jack Hermansson,Jared Cannonier
2,1.15,7.0,Mark O. Madsen vs Danilo Belluardo,Mark O. Madsen,Danilo Belluardo
