,fighter,birthday,height,weight,reach,stance
0,Joanna-Jedrzejczyk,1987-08-18,66.0,125.0,65.0,Orthodox
1,Michelle-Waterson,1986-01-06,63.0,115.0,62.0,Orthodox
2,Cub-Swanson,1983-11-02,68.0,145.0,70.0,Orthodox
3,Kron-Gracie,1988-07-11,69.0,145.0,70.0,Southpaw
4,Niko-Price,1989-09-29,72.0,170.0,76.0,Orthodox
5,James-Vick,1987-02-23,75.0,155.0,76.0,Orthodox
6,Amanda-Ribas,1993-08-26,63.0,115.0,66.0,Orthodox
7,Mackenzie-Dern,1993-03-24,64.0,115.0,63.0,Orthodox
8,Matt-Frevola,1990-06-11,69.0,155.0,71.0,Orthodox
9,Luis-Pena,1993-07-05,75.0,155.0,75.0,Southpaw
10,Eryk-Anders,1987-04-21,73.0,205.0,75.0,Southpaw
11,Gerald-Meerschaert,1987-12-18,73.0,185.0,77.0,Southpaw
12,Ryan-Spann,1991-08-24,77.0,205.0,79.0,Orthodox
13,Devin-Clark,1990-04-12,72.0,205.0,75.0,Orthodox
14,Mike-Davis,1992-10-07,72.0,155.0,72.0,Orthodox
15,Thomas-Gifford,1992-07-26,73.0,155.0,75.0,Orthodox
16,Alex-Morono,1990-08-16,71.0,170.0,72.0,Orthodox
17,Max-Griffin,1985-11-29,71.0,170.0,76.0,Orthodox
18,Deiveson-Figueiredo,1987-12-18,65.0,125.0,68.0,Orthodox
19,Tim-Elliott,1986-12-24,67.0,135.0,66.0,Southpaw
20,Marlon-Vera,1992-12-02,68.0,135.0,70.0,Switch
21,Andre-Ewell,1988-01-21,68.0,135.0,75.0,Southpaw
22,Miguel-Baeza,1992-08-23,74.0,170.0,74.0,Orthodox
23,Hector-Aldana,1988-08-17,71.0,170.0,72.0,Orthodox
24,Marvin-Vettori,1993-09-20,72.0,185.0,74.0,Southpaw
25,Andrew-Sanchez,1988-04-08,73.0,185.0,74.0,Orthodox
26,JJ-Aldrich,1992-09-29,65.0,125.0,67.0,Southpaw
