,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,W_L_FIGHTERS
0,Conor McGregor Donald Cerrone,1  0,19 of 26  0 of 1,73%  0%,20 of 27  0 of 1,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,19 of 26  0 of 1,19 of 25  0 of 0,0 of 1  0 of 1,0 of 0  0 of 0,3 of 7  0 of 1,3 of 3  0 of 0,13 of 16  0 of 0,Conor McGregor  Donald Cerrone
1,Holly Holm Raquel Pennington,0  0,30 of 62  38 of 78,48%  48%,81 of 129  55 of 95,0 of 3  1 of 2,0%  50%,0  0,0  0,0  0,30 of 62  38 of 78,12 of 33  9 of 43,9 of 18  27 of 30,9 of 11  2 of 5,20 of 50  10 of 46,10 of 12  28 of 32,0 of 0  0 of 0,Holly Holm  Raquel Pennington
2,Aleksei Oleinik Maurice Greene,0  0,7 of 22  13 of 29,31%  44%,25 of 46  38 of 54,3 of 3  0 of 0,100%  0%,3  0,4  0,0  0,7 of 22  13 of 29,4 of 19  10 of 25,2 of 2  1 of 2,1 of 1  2 of 2,4 of 16  10 of 26,0 of 0  3 of 3,3 of 6  0 of 0,Aleksei Oleinik  Maurice Greene
3,Brian Kelleher Ode Osbourne,0  0,7 of 12  9 of 14,58%  64%,28 of 34  19 of 25,1 of 2  0 of 0,50%  0%,1  0,1  0,0  0,7 of 12  9 of 14,5 of 9  9 of 14,0 of 1  0 of 0,2 of 2  0 of 0,3 of 5  3 of 8,0 of 0  1 of 1,4 of 7  5 of 5,Brian Kelleher  Ode Osbourne
4,Anthony Pettis Diego Ferreira,0  0,22 of 45  25 of 53,48%  47%,28 of 51  43 of 74,0 of 0  3 of 7,0%  42%,0  1,0  4,0  0,22 of 45  25 of 53,12 of 33  18 of 43,9 of 11  4 of 6,1 of 1  3 of 4,18 of 41  16 of 39,3 of 3  3 of 4,1 of 1  6 of 10,Diego Ferreira  Anthony Pettis
5,Roxanne Modafferi Maycee Barber,1  0,19 of 43  16 of 31,44%  51%,112 of 155  25 of 45,1 of 1  0 of 0,100%  0%,0  1,10  1,1  3,19 of 43  16 of 31,17 of 41  15 of 29,2 of 2  1 of 2,0 of 0  0 of 0,11 of 31  9 of 19,1 of 1  0 of 0,7 of 11  7 of 12,Roxanne Modafferi  Maycee Barber
6,Andre Fili Sodiq Yusuff,0  0,49 of 145  73 of 155,33%  47%,56 of 152  90 of 177,3 of 7  0 of 0,42%  0%,0  1,0  5,0  1,49 of 145  73 of 155,36 of 129  54 of 131,10 of 12  10 of 15,3 of 4  9 of 9,46 of 140  50 of 120,3 of 4  3 of 5,0 of 1  20 of 30,Sodiq Yusuff  Andre Fili
7,Tim Elliott Askar Askarov,0  0,47 of 111  73 of 150,42%  48%,86 of 157  96 of 173,3 of 11  0 of 7,27%  0%,0  0,1  2,0  0,47 of 111  73 of 150,15 of 67  57 of 131,18 of 24  4 of 5,14 of 20  12 of 14,35 of 90  57 of 127,12 of 21  8 of 9,0 of 0  8 of 14,Askar Askarov  Tim Elliott
8,Drew Dober Nasrat Haqparast,1  0,13 of 26  7 of 11,50%  63%,13 of 26  7 of 11,0 of 0  0 of 0,0%  0%,0  0,1  0,0  0,13 of 26  7 of 11,12 of 24  3 of 7,1 of 2  2 of 2,0 of 0  2 of 2,2 of 15  7 of 11,0 of 0  0 of 0,11 of 11  0 of 0,Drew Dober  Nasrat Haqparast
9,Aleksa Camur Justin Ledet,0  0,80 of 165  44 of 131,48%  33%,88 of 174  60 of 148,1 of 2  0 of 0,50%  0%,0  0,0  0,0  0,80 of 165  44 of 131,40 of 104  34 of 117,24 of 34  10 of 14,16 of 27  0 of 0,62 of 141  38 of 123,17 of 23  6 of 8,1 of 1  0 of 0,Aleksa Camur  Justin Ledet
10,Sabina Mazo JJ Aldrich,0  0,118 of 323  58 of 144,36%  40%,121 of 327  69 of 156,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,118 of 323  58 of 144,66 of 258  45 of 125,29 of 34  10 of 13,23 of 31  3 of 6,92 of 292  49 of 132,26 of 31  9 of 12,0 of 0  0 of 0,Sabina Mazo  JJ Aldrich
11,Frankie Edgar Chan Sung Jung,0  1,9 of 14  46 of 60,64%  76%,9 of 14  79 of 97,0 of 2  0 of 0,0%  0%,0  0,0  1,0  0,9 of 14  46 of 60,6 of 11  46 of 60,1 of 1  0 of 0,2 of 2  0 of 0,9 of 14  8 of 18,0 of 0  0 of 0,0 of 0  38 of 42,Chan Sung Jung  Frankie Edgar
12,Volkan Oezdemir Aleksandar Rakic,0  0,63 of 144  75 of 147,43%  51%,118 of 199  87 of 162,0 of 0  1 of 9,0%  11%,0  1,0  0,0  0,63 of 144  75 of 147,28 of 105  49 of 116,14 of 18  16 of 18,21 of 21  10 of 13,47 of 122  57 of 126,16 of 22  18 of 21,0 of 0  0 of 0,Volkan Oezdemir  Aleksandar Rakic
13,Dooho Choi Charles Jourdain,1  2,42 of 94  64 of 129,44%  49%,44 of 96  75 of 140,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,42 of 94  64 of 129,30 of 80  38 of 84,9 of 11  23 of 37,3 of 3  3 of 8,36 of 80  52 of 115,3 of 8  4 of 4,3 of 6  8 of 10,Charles Jourdain  Dooho Choi
14,Da-Un Jung Mike Rodriguez,1  0,5 of 10  4 of 8,50%  50%,5 of 10  4 of 8,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,5 of 10  4 of 8,5 of 10  0 of 1,0 of 0  2 of 2,0 of 0  2 of 5,1 of 6  4 of 8,0 of 0  0 of 0,4 of 4  0 of 0,Da-Un Jung  Mike Rodriguez
15,Junyong Park Marc-Andre Barriault,0  0,77 of 187  51 of 160,41%  31%,83 of 193  57 of 166,5 of 10  0 of 2,50%  0%,0  0,0  0,0  0,77 of 187  51 of 160,59 of 166  22 of 119,12 of 15  8 of 11,6 of 6  21 of 30,69 of 174  49 of 155,8 of 13  2 of 5,0 of 0  0 of 0,Junyong Park  Marc-Andre Barriault
16,Kyung Ho Kang Liu Pingyuan,0  0,20 of 40  25 of 53,50%  47%,108 of 153  114 of 149,3 of 7  0 of 0,42%  0%,0  0,2  0,0  0,20 of 40  25 of 53,17 of 37  16 of 42,2 of 2  2 of 2,1 of 1  7 of 9,8 of 26  8 of 33,0 of 0  0 of 0,12 of 14  17 of 20,Kyung Ho Kang  Liu Pingyuan
17,Ciryl Gane Tanner Boser,0  0,65 of 160  32 of 104,40%  30%,65 of 160  32 of 104,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,65 of 160  32 of 104,36 of 125  13 of 83,22 of 27  5 of 6,7 of 8  14 of 15,57 of 151  32 of 104,8 of 9  0 of 0,0 of 0  0 of 0,Ciryl Gane  Tanner Boser
18,SeungWoo Choi Suman Mokhtarian,1  0,95 of 187  33 of 79,50%  41%,158 of 254  67 of 115,0 of 0  0 of 1,0%  0%,0  0,2  0,0  0,95 of 187  33 of 79,66 of 151  14 of 47,26 of 33  8 of 19,3 of 3  11 of 13,48 of 112  29 of 74,25 of 39  2 of 3,22 of 36  2 of 2,SeungWoo Choi  Suman Mokhtarian
19,Dong Hyun Ma Omar Morales,0  1,15 of 56  32 of 89,26%  35%,21 of 63  60 of 123,0 of 0  1 of 1,0%  100%,0  0,0  3,0  0,15 of 56  32 of 89,6 of 43  22 of 78,2 of 5  9 of 10,7 of 8  1 of 1,15 of 56  20 of 69,0 of 0  0 of 0,0 of 0  12 of 20,Omar Morales  Dong Hyun Ma
20,Alexandre Pantoja Matt Schnell,1  0,34 of 62  20 of 52,54%  38%,36 of 64  35 of 68,1 of 1  0 of 1,100%  0%,0  0,1  0,0  0,34 of 62  20 of 52,32 of 60  16 of 43,0 of 0  2 of 6,2 of 2  2 of 3,27 of 54  18 of 50,0 of 0  0 of 0,7 of 8  2 of 2,Alexandre Pantoja  Matt Schnell
21,Raoni Barcelos Said Nurmagomedov,0  0,42 of 100  55 of 172,42%  31%,52 of 112  77 of 200,2 of 5  0 of 2,40%  0%,0  0,4  0,0  0,42 of 100  55 of 172,16 of 61  24 of 131,8 of 16  10 of 18,18 of 23  21 of 23,32 of 85  49 of 162,5 of 9  2 of 5,5 of 6  4 of 5,Raoni Barcelos  Said Nurmagomedov
