,0
0,http://www.espn.com/mma/fighter/_/id/2354057/vitor-belfort
1,http://www.espn.com/mma/fighter/_/id/2335602/michael-bisping
2,http://www.espn.com/mma/fighter/_/id/2335744/cb-dollaway
3,http://www.espn.com/mma/fighter/_/id/3005987/daniel-sarafian
4,http://www.espn.com/mma/fighter/_/id/2354239/gabriel-gonzaga
5,http://www.espn.com/mma/fighter/_/id/2473720/ben-rothwell
6,http://www.espn.com/mma/fighter/_/id/2611557/khabib-nurmagomedov
7,http://www.espn.com/mma/fighter/_/id/2354193/thiago-tavares
8,http://www.espn.com/mma/fighter/_/id/2501338/milton-vieira
9,http://www.espn.com/mma/fighter/_/id/2965058/godofredo-pepey
10,http://www.espn.com/mma/fighter/_/id/2559755/ronny-markes
11,http://www.espn.com/mma/fighter/_/id/2616900/andrew-craig
12,http://www.espn.com/mma/fighter/_/id/2504229/nik-lentz
13,http://www.espn.com/mma/fighter/_/id/2504555/diego-nunes
14,http://www.espn.com/mma/fighter/_/id/2526299/edson-barboza
15,http://www.espn.com/mma/fighter/_/id/3019244/lucas-martins
16,http://www.espn.com/mma/fighter/_/id/2532872/iuri-alcantara
17,http://www.espn.com/mma/fighter/_/id/2976027/pedro-nobre
18,http://www.espn.com/mma/fighter/_/id/2557025/ildemar-alcantara
19,http://www.espn.com/mma/fighter/_/id/2961618/wagner-prado
20,http://www.espn.com/mma/fighter/_/id/2516135/francisco-trinaldo
21,http://www.espn.com/mma/fighter/_/id/2953549/cj-keith
22,http://www.espn.com/mma/fighter/_/id/2512089/demetrious-johnson
23,http://www.espn.com/mma/fighter/_/id/2609397/john-dodson
24,http://www.espn.com/mma/fighter/_/id/2335470/quinton-jackson
25,http://www.espn.com/mma/fighter/_/id/2504929/glover-teixeira
26,http://www.espn.com/mma/fighter/_/id/2479918/donald-cerrone
27,http://www.espn.com/mma/fighter/_/id/2504171/anthony-pettis
28,http://www.espn.com/mma/fighter/_/id/2504556/erik-koch
29,http://www.espn.com/mma/fighter/_/id/2504178/ricardo-lamas
30,http://www.espn.com/mma/fighter/_/id/2354352/tj-grant
31,http://www.espn.com/mma/fighter/_/id/2354218/matt-wiman
32,http://www.espn.com/mma/fighter/_/id/2335674/clay-guida
33,http://www.espn.com/mma/fighter/_/id/2509759/hatsu-hioki
34,http://www.espn.com/mma/fighter/_/id/2526109/pascal-krauss
35,http://www.espn.com/mma/fighter/_/id/2591290/mike-stumpf
36,http://www.espn.com/mma/fighter/_/id/2335530/ryan-bader
37,http://www.espn.com/mma/fighter/_/id/2487838/vladimir-matyushenko
38,http://www.espn.com/mma/fighter/_/id/2559762/shawn-jordan
39,http://www.espn.com/mma/fighter/_/id/2502277/mike-russow
40,http://www.espn.com/mma/fighter/_/id/2504667/rafael-natal
41,http://www.espn.com/mma/fighter/_/id/3020411/sean-spencer
42,http://www.espn.com/mma/fighter/_/id/2506556/david-mitchell
43,http://www.espn.com/mma/fighter/_/id/2614930/simeon-thoresen
44,http://www.espn.com/mma/fighter/_/id/2447641/jose-aldo
45,http://www.espn.com/mma/fighter/_/id/2335694/frankie-edgar
46,http://www.espn.com/mma/fighter/_/id/2335465/rashad-evans
47,http://www.espn.com/mma/fighter/_/id/2381659/rogerio-nogueira
48,http://www.espn.com/mma/fighter/_/id/2335516/alistair-overeem
49,http://www.espn.com/mma/fighter/_/id/2493018/antonio-silva
50,http://www.espn.com/mma/fighter/_/id/2335665/jon-fitch
51,http://www.espn.com/mma/fighter/_/id/2335778/demian-maia
52,http://www.espn.com/mma/fighter/_/id/2500457/joseph-benavidez
53,http://www.espn.com/mma/fighter/_/id/2500572/ian-mccall
54,http://www.espn.com/mma/fighter/_/id/2335772/evan-dunham
55,http://www.espn.com/mma/fighter/_/id/2354336/gleison-tibau
56,http://www.espn.com/mma/fighter/_/id/2431360/jay-hieron
57,http://www.espn.com/mma/fighter/_/id/2501926/tyron-woodley
58,http://www.espn.com/mma/fighter/_/id/2502364/bobby-green
59,http://www.espn.com/mma/fighter/_/id/2495165/jacob-volkmann
60,http://www.espn.com/mma/fighter/_/id/2335706/yves-edwards
61,http://www.espn.com/mma/fighter/_/id/2560712/isaac-vallie-flagg
62,http://www.espn.com/mma/fighter/_/id/2523679/chico-camus
63,http://www.espn.com/mma/fighter/_/id/3020302/dustin-kimura
64,http://www.espn.com/mma/fighter/_/id/2555761/edwin-figueroa
65,http://www.espn.com/mma/fighter/_/id/2531855/francisco-rivera
66,http://www.espn.com/mma/fighter/_/id/2504550/renan-barao
67,http://www.espn.com/mma/fighter/_/id/2555668/michael-mcdonald
68,http://www.espn.com/mma/fighter/_/id/2506549/dustin-poirier
69,http://www.espn.com/mma/fighter/_/id/2354087/cub-swanson
70,http://www.espn.com/mma/fighter/_/id/2335519/cyrille-diabate
71,http://www.espn.com/mma/fighter/_/id/2611102/jimi-manuwa
72,http://www.espn.com/mma/fighter/_/id/2335790/jorge-santiago
73,http://www.espn.com/mma/fighter/_/id/2968990/gunnar-nelson
74,http://www.espn.com/mma/fighter/_/id/2501670/ryan-jimmo
75,http://www.espn.com/mma/fighter/_/id/2504632/james-te-huna
76,http://www.espn.com/mma/fighter/_/id/2553271/che-mills
77,http://www.espn.com/mma/fighter/_/id/2335828/matthew-riddle
78,http://www.espn.com/mma/fighter/_/id/2335782/terry-etim
79,http://www.espn.com/mma/fighter/_/id/2975070/renee-forte
80,http://www.espn.com/mma/fighter/_/id/2486967/danny-castillo
81,http://www.espn.com/mma/fighter/_/id/2509288/paul-sass
82,http://www.espn.com/mma/fighter/_/id/2354170/josh-grispi
83,http://www.espn.com/mma/fighter/_/id/2964410/andy-ogle
84,http://www.espn.com/mma/fighter/_/id/2503059/stanislav-nedkov
85,http://www.espn.com/mma/fighter/_/id/2557945/tom-watson
86,http://www.espn.com/mma/fighter/_/id/2555607/vaughan-lee
87,http://www.espn.com/mma/fighter/_/id/3005239/motonobu-tezuka
88,http://www.espn.com/mma/fighter/_/id/2560738/ulysses-gomez
89,http://www.espn.com/mma/fighter/_/id/2494741/phil-harris
90,http://www.espn.com/mma/fighter/_/id/2554674/liz-carmouche
91,http://www.espn.com/mma/fighter/_/id/2563796/ronda-rousey
92,http://www.espn.com/mma/fighter/_/id/2335497/dan-henderson
93,http://www.espn.com/mma/fighter/_/id/2335524/lyoto-machida
94,http://www.espn.com/mma/fighter/_/id/2335682/urijah-faber
95,http://www.espn.com/mma/fighter/_/id/2335702/ivan-menjivar
96,http://www.espn.com/mma/fighter/_/id/2504639/court-mcgee
97,http://www.espn.com/mma/fighter/_/id/2335691/josh-neer
98,http://www.espn.com/mma/fighter/_/id/2335664/josh-koscheck
99,http://www.espn.com/mma/fighter/_/id/2431258/robbie-lawler
100,http://www.espn.com/mma/fighter/_/id/2552406/lavar-johnson
101,http://www.espn.com/mma/fighter/_/id/2500160/brendan-schaub
102,http://www.espn.com/mma/fighter/_/id/2615260/anton-kuivanen
103,http://www.espn.com/mma/fighter/_/id/2960681/michael-chiesa
104,http://www.espn.com/mma/fighter/_/id/2335789/matt-grice
105,http://www.espn.com/mma/fighter/_/id/2527805/dennis-bermudez
106,http://www.espn.com/mma/fighter/_/id/2558612/caros-fodor
107,http://www.espn.com/mma/fighter/_/id/2354128/sam-stout
108,http://www.espn.com/mma/fighter/_/id/2570368/brock-jardine
109,http://www.espn.com/mma/fighter/_/id/2515913/kenny-robertson
110,http://www.espn.com/mma/fighter/_/id/3001914/neil-magny
111,http://www.espn.com/mma/fighter/_/id/3002059/jon-manley
112,http://www.espn.com/mma/fighter/_/id/2515909/nah-shon-burrell
