,fight,loser,odds_l,odds_w,winner,FIGHTERS
0,Conor McGregor vs Donald Cerrone,Donald-Cerrone,3.66,1.41,Conor-McGregor,Conor-McGregor vs. Donald-Cerrone
1,Holly Holm vs Raquel Pennington,Raquel-Pennington,2.38,1.73,Holly-Holm,Holly-Holm vs. Raquel-Pennington
2,Maurice Greene vs Aleksei Oleinik,Maurice-Greene,1.91,2.01,Aleksei-Oleinik,Aleksei-Oleinik vs. Maurice-Greene
3,Ode Osbourne vs Brian Kelleher,Ode-Osbourne,1.72,2.4,Brian-Kelleher,Brian-Kelleher vs. Ode-Osbourne
4,Anthony Pettis vs Carlos Diego Ferreira,Anthony-Pettis,3.0,1.8,Carlos-Diego-Ferreira,Anthony-Pettis vs. Carlos-Diego-Ferreira
5,Maycee Barber vs Roxanne Modafferi,Maycee-Barber,1.12,8.02,Roxanne-Modafferi,Maycee-Barber vs. Roxanne-Modafferi
6,Andre Fili vs Sodiq Yusuff,Andre-Fili,2.25,1.77,Sodiq-Yusuff,Andre-Fili vs. Sodiq-Yusuff
7,Tim Elliott vs Askar Askarov,Tim-Elliott,2.35,1.78,Askar-Askarov,Askar-Askarov vs. Tim-Elliott
8,Nasrat Haqparast vs Drew Dober,Nasrat-Haqparast,1.33,3.85,Drew-Dober,Drew-Dober vs. Nasrat-Haqparast
9,Aleksa Camur vs Justin Ledet,Justin-Ledet,2.15,1.83,Aleksa-Camur,Aleksa-Camur vs. Justin-Ledet
10,J.J. Aldrich vs Sabina Mazo,J.J.-Aldrich,1.91,2.05,Sabina-Mazo,J.J.-Aldrich vs. Sabina-Mazo
0,Frankie Edgar vs Chan Sung Jung,Frankie-Edgar,2.85,1.57,Chan-Sung-Jung,Chan-Sung-Jung vs. Frankie-Edgar
1,Volkan Oezdemir vs Aleksandar Rakic,Aleksandar-Rakic,1.69,2.35,Volkan-Oezdemir,Aleksandar-Rakic vs. Volkan-Oezdemir
2,Doo Ho Choi vs Charles Jourdain,Doo-Ho-Choi,1.3,4.8,Charles-Jourdain,Charles-Jourdain vs. Doo-Ho-Choi
3,Da Un Jung vs Mike Rodriguez,Mike-Rodriguez,1.83,2.1,Da-Un-Jung,Da-Un-Jung vs. Mike-Rodriguez
4,Jun Yong Park vs Marc-Andre Barriault,Marc-Andre-Barriault,1.82,2.15,Jun-Yong-Park,Jun-Yong-Park vs. Marc-Andre-Barriault
5,Kyung Ho Kang vs Pingyuan Liu,Pingyuan-Liu,3.15,1.43,Kyung-Ho-Kang,Kyung-Ho-Kang vs. Pingyuan-Liu
6,Ciryl Gane vs Tanner Boser,Tanner-Boser,6.15,1.17,Ciryl-Gane,Ciryl-Gane vs. Tanner-Boser
7,Suman Mokhtarian vs Seung Woo Choi,Suman-Mokhtarian,3.5,1.38,Seung-Woo-Choi,Seung-Woo-Choi vs. Suman-Mokhtarian
8,Omar Morales vs Dong Hyun Ma,Dong-Hyun-Ma,3.1,1.49,Omar-Morales,Dong-Hyun-Ma vs. Omar-Morales
9,Alexandre Pantoja vs Matt Schnell,Matt-Schnell,3.25,1.44,Alexandre-Pantoja,Alexandre-Pantoja vs. Matt-Schnell
10,Said Nurmagomedov vs Raoni Barcelos,Said-Nurmagomedov,1.91,2.05,Raoni-Barcelos,Raoni-Barcelos vs. Said-Nurmagomedov
11,Amanda Oliveira de Lemos vs Miranda Granger,Miranda-Granger,1.55,2.8,Amanda-Oliveira-de-Lemos,Amanda-Oliveira-de-Lemos vs. Miranda-Granger
12,Heili Alateng vs Ryan Benoit,Ryan-Benoit,1.91,2.06,Heili-Alateng,Heili-Alateng vs. Ryan-Benoit
