,fight,date,fighter_2,cumultime_2,cumulStr_Att_fighter_2,cumulStr_Att_oponent_2,cumulTD_Att_fighter_2,cumulTD_Att_oponent_2,KDPM_2,KDPM_ratio_2,SLPM_2,SLPM_ratio_2,SAPM_2,SAPM_ratio_2,Str_Acc_2,Str_Def_2,TD_Acc_2,TD_Def_2,SubPM_2,PassPM_2,RevPM_2,Head_SLPM_2,Body_SLPM_2,Leg_SLPM_2,Dist_SLPM_2,Clinch_SLPM_2,Ground_SLPM_2,wins_2,losses_2,implied_prob_2,prev_2,height_2,weight_2,reach_2,age_2,stance_Orthodox_2,stance_Southpaw_2,stance_Switch_2,winner
938,Alistair Overeem vs Roy Nelson,2015-03-14,Alistair-Overeem,22.516666666666666,168.0,261.0,7.0,3.0,0.04829237291983286,0.02220577350111029,1.169836869708314,0.4648736354244961,2.522378992244497,1.35386797205929,0.016246525381489147,0.006431389129300737,0.11904761904761905,0.6666666666666666,0.00634450671460294,0.00634450671460294,0.0,0.8854466199091894,0.21682140313524284,0.06756884666388185,0.6391872194077143,0.2474773828578769,0.2831722674427227,3,3,0.6493506493506493,6,76.0,265.0,80.0,34.0,1,0,0,1
417,Edson Barboza vs Kevin Lee,2018-04-21,Kevin-Lee,65.83333333333334,827.0,1016.0,44.0,45.0,0.0,0.0,0.8838849643930824,0.14726218290136506,1.225873753234919,0.3688931954121827,0.006145766140904495,0.005954806243812471,0.06543109668109669,0.1232716049382716,0.02515181479960247,0.04484161204948938,0.0,0.5616972798023996,0.2223685164170845,0.09981916817359854,0.6362769653267429,0.10917003096445672,0.13843796810188289,9,3,0.591715976331361,12,69.0,170.0,77.0,25.0,1,0,0,1
1289,Johny Hendricks vs Stephen Thompson,2016-02-06,Stephen-Thompson,35.86666666666667,535.0,524.0,13.0,19.0,0.006218819529857244,0.013940520446096654,1.156838180279628,0.1589976913172222,1.4379937494839394,0.3543496349625332,0.0052780096825650715,0.006444515544313815,0.038461538461538464,0.12010796221322535,0.0,0.0039830058417419005,0.0039830058417419005,0.5188394465463976,0.2722953046370287,0.3657034290962015,0.94351901142605,0.20137015132835206,0.0119490175252257,6,1,0.29940119760479045,7,72.0,170.0,75.0,32.0,1,0,0,1
615,Jim Miller vs Danny Castillo,2015-07-25,Jim-Miller,91.6,1379.0,1013.0,63.0,29.0,0.01297162299759932,0.0,1.12977505368481,0.3967127891283846,0.6932045171195791,0.2014123200100742,0.0048649661576537755,0.011577999327990944,0.1384731670445956,0.2655172413793104,0.06490870731818364,0.0805405093756892,0.0031191515907673106,0.7185820064426891,0.2084169018824361,0.20277614535968452,0.63118349972358,0.20740201141371434,0.2911895425475153,13,5,0.53475935828877,18,68.0,155.0,71.0,31.0,0,1,0,1
969,Brad Tavares vs Thales Leites,2017-10-07,Brad-Tavares,86.36666666666666,1174.0,1118.0,45.0,65.0,0.018460890710987204,0.01157854110382092,1.014434929148652,0.2636462337010571,0.8492364806259954,0.1464268647033685,0.00584075092840015,0.007274156992715226,0.0937037037037037,0.14881562881562882,0.005980125625050364,0.01921274402941713,0.004962231901637536,0.5760751235695811,0.1784036289883902,0.25995617659068065,0.6607117492741253,0.2512629230337218,0.1024602568408049,10,4,0.6289308176100629,14,73.0,185.0,74.0,29.0,1,0,0,1
470,Tony Ferguson vs Gleison Tibau,2015-02-28,Tony-Ferguson,41.183333333333344,771.0,646.0,6.0,22.0,0.009391167508252524,0.0,1.130480888200971,0.2803236154106247,0.8269728840943662,0.16130634044134445,0.003591777205464911,0.008128143601938382,0.4166666666666667,0.21287878787878786,0.030435097970399817,0.010489442654449076,0.003468809620165346,0.7338412044300602,0.19088905392806085,0.2057506298428498,1.0614843711865891,0.04795258655223481,0.02104393046214729,7,1,0.6993006993006994,8,71.0,155.0,76.0,31.0,1,0,0,1
1356,Yves Jabouin vs Felipe Arantes,2015-08-23,Felipe-Arantes,38.53333333333333,517.0,489.0,13.0,25.0,0.0037073652990608007,0.0,0.8264626605359127,0.1743715272381303,0.8174390732985758,0.2776425295578006,0.0049425905542073035,0.0066405350177754854,0.11217948717948716,0.092,0.007414730598121601,0.03322638711422416,0.01846687620664248,0.5039218795176228,0.2372713791398913,0.08526940187839842,0.5597422098695194,0.14087988136431046,0.12584056930208265,3,3,0.6756756756756757,6,68.0,135.0,73.0,27.0,1,0,0,1
533,Gray Maynard vs Nik Lentz,2018-10-06,Nik-Lentz,109.68333333333334,1392.0,1399.0,66.0,153.0,0.005484003276691957,0.0,1.1673758153160934,0.2379684383862103,1.1435966988093402,0.21619109864441727,0.0070202473926838345,0.006075862139249881,0.10604118104118104,0.07741741576805014,0.02944470418530183,0.05123734148371837,0.004259366058484733,0.7673687047199862,0.25313441214438465,0.14687269845172252,0.6376212014204632,0.276917001873049,0.25283761202258104,12,6,0.6896551724137931,18,68.0,155.0,68.0,34.0,1,0,0,1
243,Tatiana Suarez vs Carla Esparza,2018-09-08,Tatiana-Suarez,13.45,133.0,36.0,8.0,3.0,0.0,0.0,1.2373912140894177,1.8187017443523017,0.212483901128636,0.04304326579053005,0.017006891608365503,0.054515566290928616,0.225,0.1111111111111111,0.02000433427242569,0.1380775358470526,0.0,0.8868297771137289,0.22310525003994766,0.12745618693574085,0.1368391722968548,0.14066810875225058,0.9598839330403122,3,0,0.8,3,65.0,115.0,66.0,27.0,0,0,0,1
646,Jose Aldo vs Max Holloway,2017-06-03,Max-Holloway,90.71666666666668,2408.0,2159.0,16.0,84.0,0.009578270268594305,0.0,1.869720294046892,0.2649025965331351,1.4467774846965398,0.17528104426975974,0.002744413336068932,0.004715042057591682,0.234375,0.11990740740740742,0.007051588314524066,0.02183547224951616,0.0,1.3057203729514169,0.3949272127559002,0.16907270833957475,1.4418860339162578,0.29468701055662466,0.13314724957400925,13,3,0.4347826086956522,16,71.0,145.0,69.0,25.0,1,0,0,1
