,Weight class,Method,Round,Time,location,date,fighturl,eventurl,winner,loser
0,Welterweight,KO/TKO  Kick,1,0:40,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/eed6c9aff2234b7a,http://ufcstats.com/event-details/0c1773639c795466,Conor McGregor,Donald Cerrone
1,Women's Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/36032308b7e86fd0,http://ufcstats.com/event-details/0c1773639c795466,Holly Holm,Raquel Pennington
2,Heavyweight,SUB  Armbar,2,4:38,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/702759500d47a059,http://ufcstats.com/event-details/0c1773639c795466,Aleksei Oleinik,Maurice Greene
3,Bantamweight,SUB  Guillotine Choke,1,2:49,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/4eff0432bd364a23,http://ufcstats.com/event-details/0c1773639c795466,Brian Kelleher,Ode Osbourne
4,Lightweight,SUB  Rear Naked Choke,2,1:46,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/32a8f38bd1d46e3e,http://ufcstats.com/event-details/0c1773639c795466,Diego Ferreira,Anthony Pettis
5,Women's Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/760b5b16b4931a77,http://ufcstats.com/event-details/0c1773639c795466,Roxanne Modafferi,Maycee Barber
6,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/5868c154789648f0,http://ufcstats.com/event-details/0c1773639c795466,Sodiq Yusuff,Andre Fili
7,Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/ff467a5f06a91a0f,http://ufcstats.com/event-details/0c1773639c795466,Askar Askarov,Tim Elliott
8,Lightweight,KO/TKO  Punch,1,1:10,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/63dd38f0dcc2ee88,http://ufcstats.com/event-details/0c1773639c795466,Drew Dober,Nasrat Haqparast
9,Light Heavyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/6087c50c5f95a677,http://ufcstats.com/event-details/0c1773639c795466,Aleksa Camur,Justin Ledet
10,Women's Flyweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA",2020-01-18,http://ufcstats.com/fight-details/96fe84d051847591,http://ufcstats.com/event-details/0c1773639c795466,Sabina Mazo,JJ Aldrich
11,Featherweight,KO/TKO  Punches,1,3:18,"Busan, South Korea",2019-12-21,http://ufcstats.com/fight-details/06f37329b223b451,http://ufcstats.com/event-details/74fefd43f073cd2f,Chan Sung Jung,Frankie Edgar
