,Fighter,W_L_FIGHTERS,KD_Win,KD_lose,Sig_str_land_win,Sig_str_att_win,Sig_str_land_lose,Sig_str_att_lose,Sig_str_%_win,Sig_str_%_lose,Tot_str_land_win,Tot_str_att_win,Tot_str_land_lose,Tot_str_att_lose,Td_land_win,Td_att_win,Td_land_lose,Td_att_lose,Td_%_win,Td_%_lose,Sub_att_win,Sub_att_lose,Pass_win,Pass_lose,Rev_win,Rev_lose,Head_land_win,Head_att_win,Head_land_lose,Head_att_lose,Body_land_win,Body_att_win,Body_land_lose,Body_att_lose,Leg_land_win,Leg_att_win,Leg_land_lose,Leg_att_lose,Dist_land_win,Dist_att_win,Dist_land_lose,Dist_att_lose,Clinch_land_win,Clinch_att_win,Clinch_land_lose,Clinch_att_lose,Ground_land_win,Ground_att_win,Ground_land_lose,Ground_att_lose
0,JanBlachowiczJacareSouza,JanBlachowiczJacareSouza,0, 0,71,170,20,48,41%, 41%,105,205,56,88,0,0,0,5,0%, 0%,0, 0,0, 0,0, 0,38,121,8,28,13,20,3,10,20,29,9,10,59,154,18,45,12,16,2,3,0,0,0,0
1,CharlesOliveiraJaredGordon,CharlesOliveiraJaredGordon,1, 0,10,16,7,18,62%, 38%,10,16,7,18,0,1,0,0,0%, 0%,0, 0,0, 0,0, 0,5,9,7,16,1,3,0,2,4,4,0,0,8,14,7,18,0,0,0,0,2,2,0,0
2,AntonioArroyoAndreMuniz,AndreMunizAntonioArroyo, 0,0,22,42,29,47, 52%,61%,85,128,47,67,3,7,1,1, 42%,100%, 2,0, 2,0, 0,1,12,30,20,35,8,10,5,7,2,2,4,5,20,40,21,36,1,1,0,0,1,1,8,11
3,MarkusPerezWellingtonTurman,WellingtonTurmanMarkusPerez, 0,0,48,120,49,96, 40%,51%,59,132,56,103,2,9,0,1, 22%,0%, 0,0, 1,0, 0,0,35,103,33,72,8,12,13,21,5,5,3,3,23,91,26,67,19,21,21,26,6,8,2,3
4,SergioMoraesJamesKrause,JamesKrauseSergioMoraes, 3,0,102,174,41,99, 58%,41%,125,200,42,100,0,0,1,4, 0%,25%, 0,0, 1,1, 1,0,79,148,36,91,7,10,3,6,16,16,2,2,97,166,41,99,0,0,0,0,5,8,0,0
5,RicardoRamosEduardoGaragorri,RicardoRamosEduardoGaragorri,0, 0,10,34,6,16,29%, 37%,12,36,6,16,2,3,0,0,66%, 0%,1, 0,1, 0,0, 0,3,23,3,11,3,4,3,4,4,7,0,1,9,33,6,16,0,0,0,0,1,1,0,0
6,FranciscoTrinaldoBobbyGreen,FranciscoTrinaldoBobbyGreen,0, 0,31,122,50,115,25%, 43%,36,127,67,135,1,2,2,2,50%, 100%,1, 0,0, 4,0, 0,20,100,27,77,5,14,13,24,6,8,10,14,26,109,43,106,5,13,1,2,0,0,6,7
7,WarlleyAlvesRandyBrown,RandyBrownWarlleyAlves, 0,0,16,30,3,11, 53%,27%,24,38,8,18,1,1,3,3, 100%,100%, 1,2, 1,3, 1,0,11,23,1,8,3,4,0,0,2,3,2,3,9,18,1,9,3,5,0,0,4,7,2,2
8,DouglasSilvadeAndradeRenanBarao,DouglasSilvadeAndradeRenanBarao,0, 0,74,163,58,158,45%, 36%,100,190,140,241,0,0,2,9,0%, 22%,0, 0,0, 1,0, 0,51,127,31,115,15,27,14,25,8,9,13,18,68,156,49,147,4,4,7,8,2,3,2,3
9,ArianeLipskiIsabeladePadua,ArianeLipskiIsabeladePadua,1, 0,31,63,15,42,49%, 35%,175,224,90,128,0,0,2,3,0%, 66%,1, 1,2, 0,1, 0,27,58,15,42,4,4,0,0,0,1,0,0,18,45,6,26,0,0,0,0,13,18,9,16
10,VanessaMeloTracyCortez,TracyCortezVanessaMelo, 0,0,79,140,40,125, 56%,32%,155,224,76,161,2,9,0,0, 22%,0%, 0,0, 1,0, 0,0,53,109,32,116,16,18,7,7,10,13,1,2,46,103,32,117,12,12,6,6,21,25,2,2
11,ZabitMagomedsharipovCalvinKattar,ZabitMagomedsharipovCalvinKattar,0, 0,96,250,80,213,38%, 37%,100,255,127,260,1,4,0,0,25%, 0%,0, 0,0, 0,0, 0,46,181,61,184,14,33,11,21,36,36,8,8,95,249,71,204,0,0,0,0,1,1,9,9
12,AlexanderVolkovGregHardy,AlexanderVolkovGregHardy,0, 0,86,152,46,135,56%, 34%,86,152,51,140,0,0,0,2,0%, 0%,0, 0,0, 0,0, 0,44,101,23,92,26,32,13,29,16,19,10,14,86,152,46,135,0,0,0,0,0,0,0,0
13,ZelimImadaevDannyRoberts,DannyRobertsZelimImadaev, 1,0,37,61,28,71, 60%,39%,42,68,38,84,1,8,1,1, 12%,100%, 0,0, 0,1, 0,0,10,34,15,54,17,17,10,12,10,10,3,5,18,40,19,58,19,21,9,11,0,0,0,2
14,KhadisIbragimovEdHerman,EdHermanKhadisIbragimov, 0,0,81,140,53,102, 57%,51%,121,183,70,124,0,4,2,4, 0%,50%, 0,0, 0,1, 0,0,49,103,48,95,17,19,4,6,15,18,1,1,36,79,43,91,43,59,10,11,2,2,0,0
15,RamazanEmeevAnthonyRoccoMartin,AnthonyRoccoMartinRamazanEmeev, 0,0,41,140,30,92, 29%,32%,48,148,43,105,0,0,0,9, 0%,0%, 2,0, 0,0, 0,0,22,119,26,84,0,0,2,4,19,21,2,4,41,140,24,86,0,0,6,6,0,0,0,0
16,ShamilGamzatovKlidsonAbreu,ShamilGamzatovKlidsonAbreu,0, 0,64,138,32,78,46%, 41%,82,158,47,95,0,1,1,2,0%, 50%,0, 0,0, 0,0, 0,10,59,11,48,23,34,7,15,31,45,14,15,64,138,31,76,0,0,1,1,0,0,0,1
