,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Joanna Jedrzejczyk Michelle Waterson,0  0,180 of 300  58 of 160,60%  36%,226 of 347  71 of 174,3 of 5  1 of 9,60%  11%,1  1,0  1,0  0,180 of 300  58 of 160,48 of 136  25 of 84,54 of 74  12 of 40,78 of 90  21 of 36,132 of 246  44 of 141,48 of 54  14 of 19,0 of 0  0 of 0
0,Cub Swanson Kron Gracie,0  0,135 of 288  86 of 200,46%  43%,143 of 296  109 of 225,0 of 0  0 of 2,0%  0%,0  0,0  0,0  0,135 of 288  86 of 200,84 of 215  73 of 177,40 of 58  4 of 8,11 of 15  9 of 15,110 of 252  74 of 182,24 of 34  11 of 16,1 of 2  1 of 2
0,Niko Price James Vick,1  0,11 of 22  9 of 18,50%  50%,15 of 28  10 of 19,0 of 1  0 of 0,0%  0%,0  0,1  0,0  0,11 of 22  9 of 18,10 of 21  6 of 15,0 of 0  1 of 1,1 of 1  2 of 2,2 of 9  5 of 11,0 of 0  0 of 0,9 of 13  4 of 7
0,Mackenzie Dern Amanda Ribas,0  0,20 of 145  74 of 206,13%  35%,50 of 175  84 of 216,0 of 6  2 of 2,0%  100%,0  0,0  0,0  0,20 of 145  74 of 206,16 of 135  40 of 163,3 of 8  21 of 28,1 of 2  13 of 15,19 of 144  72 of 203,0 of 0  0 of 0,1 of 1  2 of 3
0,Matt Frevola Luis Pena,0  0,48 of 110  51 of 120,43%  42%,51 of 115  60 of 129,4 of 7  1 of 2,57%  50%,0  2,1  1,0  3,48 of 110  51 of 120,27 of 82  43 of 104,10 of 17  7 of 15,11 of 11  1 of 1,46 of 105  37 of 101,2 of 5  8 of 10,0 of 0  6 of 9
0,Eryk Anders Gerald Meerschaert,0  0,64 of 178  72 of 202,35%  35%,64 of 178  72 of 202,0 of 0  0 of 1,0%  0%,0  0,0  0,0  0,64 of 178  72 of 202,31 of 132  56 of 185,14 of 22  13 of 14,19 of 24  3 of 3,61 of 173  71 of 201,2 of 2  1 of 1,1 of 3  0 of 0
0,Ryan Spann Devin Clark,0  0,17 of 48  17 of 37,35%  45%,17 of 48  22 of 42,0 of 1  2 of 3,0%  66%,1  0,0  0,0  0,17 of 48  17 of 37,14 of 44  8 of 27,3 of 4  7 of 8,0 of 0  2 of 2,8 of 36  11 of 29,9 of 12  6 of 8,0 of 0  0 of 0
0,Mike Davis Thomas Gifford,2  0,139 of 222  88 of 242,62%  36%,141 of 224  89 of 243,2 of 2  0 of 2,100%  0%,0  0,1  0,0  0,139 of 222  88 of 242,96 of 166  45 of 189,32 of 40  18 of 23,11 of 16  25 of 30,98 of 173  80 of 229,17 of 18  8 of 11,24 of 31  0 of 2
0,Max Griffin Alex Morono,0  1,75 of 166  81 of 255,45%  31%,94 of 189  87 of 261,4 of 5  0 of 1,80%  0%,0  0,1  0,0  0,75 of 166  81 of 255,37 of 115  60 of 229,33 of 45  11 of 15,5 of 6  10 of 11,69 of 156  68 of 237,5 of 9  12 of 16,1 of 1  1 of 2
0,Deiveson Figueiredo Tim Elliott,0  0,8 of 13  26 of 38,61%  68%,8 of 13  33 of 45,0 of 1  1 of 3,0%  33%,1  0,0  0,0  0,8 of 13  26 of 38,8 of 13  10 of 16,0 of 0  1 of 5,0 of 0  15 of 17,6 of 10  20 of 28,2 of 3  6 of 10,0 of 0  0 of 0
0,Marlon Vera Andre Ewell,0  0,80 of 133  50 of 131,60%  38%,87 of 140  67 of 148,0 of 1  0 of 1,0%  0%,2  0,0  0,0  0,80 of 133  50 of 131,41 of 83  38 of 112,19 of 26  11 of 18,20 of 24  1 of 1,51 of 95  49 of 124,15 of 21  1 of 6,14 of 17  0 of 1
0,Miguel Baeza Hector Aldana,1  0,35 of 61  8 of 42,57%  19%,35 of 61  8 of 42,1 of 1  0 of 0,100%  0%,0  0,0  0,0  0,35 of 61  8 of 42,16 of 38  2 of 30,3 of 7  0 of 4,16 of 16  6 of 8,29 of 51  8 of 42,0 of 0  0 of 0,6 of 10  0 of 0
0,Marvin Vettori Andrew Sanchez,0  0,85 of 205  39 of 185,41%  21%,86 of 206  39 of 185,0 of 0  0 of 2,0%  0%,0  0,0  0,0  0,85 of 205  39 of 185,72 of 187  21 of 146,10 of 14  6 of 17,3 of 4  12 of 22,74 of 188  38 of 183,11 of 17  1 of 2,0 of 0  0 of 0
0,JJ Aldrich Lauren Mueller,0  0,74 of 160  54 of 147,46%  36%,78 of 164  60 of 153,1 of 2  1 of 1,50%  100%,0  0,1  0,0  0,74 of 160  54 of 147,59 of 142  34 of 117,10 of 11  10 of 20,5 of 7  10 of 10,70 of 151  52 of 145,4 of 9  2 of 2,0 of 0  0 of 0
0,Robert Whittaker Israel Adesanya,0  2,32 of 116  40 of 95,27%  42%,32 of 116  40 of 95,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,32 of 116  40 of 95,20 of 97  27 of 80,3 of 5  6 of 8,9 of 14  7 of 7,32 of 116  37 of 91,0 of 0  0 of 0,0 of 0  3 of 4
0,Al Iaquinta Dan Hooker,0  1,37 of 116  98 of 207,31%  47%,38 of 117  104 of 213,0 of 3  0 of 1,0%  0%,0  0,0  2,0  0,37 of 116  98 of 207,21 of 93  68 of 168,7 of 11  7 of 13,9 of 12  23 of 26,37 of 116  76 of 182,0 of 0  0 of 0,0 of 0  22 of 25
0,Tai Tuivasa Serghei Spivac,0  0,21 of 50  23 of 42,42%  54%,22 of 51  40 of 60,0 of 0  6 of 8,0%  75%,0  1,0  6,0  0,21 of 50  23 of 42,8 of 32  22 of 41,4 of 8  1 of 1,9 of 10  0 of 0,17 of 39  8 of 27,4 of 9  1 of 1,0 of 2  14 of 14
0,Luke Jumeau Dhiego Lima,0  0,24 of 95  32 of 105,25%  30%,24 of 95  49 of 124,0 of 0  2 of 6,0%  33%,0  0,0  0,0  0,24 of 95  32 of 105,17 of 85  15 of 72,1 of 4  2 of 12,6 of 6  15 of 21,24 of 95  30 of 99,0 of 0  0 of 0,0 of 0  2 of 6
0,Justin Tafa Yorgan De Castro,0  1,6 of 9  4 of 12,66%  33%,17 of 20  6 of 14,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,6 of 9  4 of 12,5 of 8  2 of 10,1 of 1  2 of 2,0 of 0  0 of 0,2 of 3  4 of 8,4 of 6  0 of 4,0 of 0  0 of 0
0,Jake Matthews Rostem Akman,0  0,59 of 133  15 of 110,44%  13%,61 of 136  15 of 110,0 of 2  0 of 0,0%  0%,0  0,0  0,0  0,59 of 133  15 of 110,19 of 76  8 of 94,20 of 35  6 of 15,20 of 22  1 of 1,53 of 127  11 of 104,6 of 6  4 of 6,0 of 0  0 of 0
0,Callan Potter Maki Pitolo,0  0,48 of 96  60 of 155,50%  38%,127 of 198  103 of 198,3 of 4  0 of 2,75%  0%,0  1,4  1,1  1,48 of 96  60 of 155,44 of 91  49 of 142,2 of 3  9 of 11,2 of 2  2 of 2,41 of 89  60 of 155,4 of 4  0 of 0,3 of 3  0 of 0
0,Brad Riddell Jamie Mullarkey,0  0,91 of 153  36 of 95,59%  37%,104 of 167  41 of 100,1 of 1  3 of 15,100%  20%,0  1,5  2,1  1,91 of 153  36 of 95,70 of 129  25 of 83,14 of 16  4 of 4,7 of 8  7 of 8,63 of 121  35 of 93,3 of 3  0 of 0,25 of 29  1 of 2
0,Megan Anderson Zarah Fairn,0  0,10 of 18  2 of 5,55%  40%,22 of 33  32 of 45,1 of 2  0 of 0,50%  0%,1  0,2  0,0  1,10 of 18  2 of 5,10 of 17  2 of 5,0 of 1  0 of 0,0 of 0  0 of 0,0 of 4  2 of 5,0 of 1  0 of 0,10 of 13  0 of 0
0,Nadia Kassem Ji Yeon Kim,0  1,45 of 131  80 of 179,34%  44%,53 of 139  83 of 185,1 of 2  0 of 0,50%  0%,0  0,0  0,0  0,45 of 131  80 of 179,9 of 67  64 of 151,31 of 56  12 of 19,5 of 8  4 of 9,40 of 119  74 of 167,4 of 8  5 of 8,1 of 4  1 of 4
0,Khalid Taha Bruno Silva,1  0,38 of 88  20 of 50,43%  40%,74 of 127  51 of 88,0 of 1  2 of 11,0%  18%,1  0,1  1,0  0,38 of 88  20 of 50,29 of 69  9 of 33,4 of 11  8 of 11,5 of 8  3 of 6,19 of 62  10 of 31,6 of 7  1 of 1,13 of 19  9 of 18
0,Jack Hermansson Jared Cannonier,0  1,20 of 42  28 of 53,47%  52%,22 of 45  29 of 54,1 of 6  0 of 0,16%  0%,0  0,1  1,0  0,20 of 42  28 of 53,5 of 21  21 of 43,2 of 5  2 of 3,13 of 16  5 of 7,19 of 41  10 of 34,1 of 1  1 of 2,0 of 0  17 of 17
0,Mark Madsen Danilo Belluardo,0  0,22 of 29  0 of 1,75%  0%,24 of 31  0 of 1,1 of 2  0 of 0,50%  0%,0  0,1  0,0  0,22 of 29  0 of 1,22 of 29  0 of 1,0 of 0  0 of 0,0 of 0  0 of 0,0 of 2  0 of 1,1 of 1  0 of 0,21 of 26  0 of 0
