,Date,Event,Favourite  Wins,Underdog  Wins,Avg Winner  Odds,Favourites  (ROI),Underdogs  (ROI),url
225,2019-10-12,UFC on ESPN+ 19,10,4,+-100,$15.76 (11%),$-42.60 (-30%),https://www.betmma.tips/mma_event_betting_history.php?Event=507
224,2019-10-05,UFC 243,8,3,+-100,$16.93 (15%),$-11.00 (-10%),https://www.betmma.tips/mma_event_betting_history.php?Event=519
223,2019-09-28,UFC Fight Night 160,6,7,+-100,$-36.36 (-28%),$76.60 (59%),https://www.betmma.tips/mma_event_betting_history.php?Event=509
222,2019-09-21,UFC Fight Night 159,6,4,+-100,$-4.48 (-4%),$4.10 (4%),https://www.betmma.tips/mma_event_betting_history.php?Event=527
221,2019-09-14,UFC Fight Night 158,5,6,+-100,$-25.28 (-23%),$60.10 (55%),https://www.betmma.tips/mma_event_betting_history.php?Event=528
220,2019-09-07,UFC 242,7,5,+-100,$-19.37 (-15%),$13.80 (11%),https://www.betmma.tips/mma_event_betting_history.php?Event=486
219,2019-08-31,UFC Fight Night 157,5,5,+-100,$-14.31 (-13%),$42.30 (38%),https://www.betmma.tips/mma_event_betting_history.php?Event=503
218,2019-08-17,UFC 241,6,6,+-100,$-28.02 (-23%),$86.10 (72%),https://www.betmma.tips/mma_event_betting_history.php?Event=477
217,2019-08-10,UFC Fight Night 156,9,4,+-100,$15.88 (12%),$-38.00 (-29%),https://www.betmma.tips/mma_event_betting_history.php?Event=500
216,2019-08-03,UFC on ESPN 5,6,6,+-100,$-33.29 (-28%),$21.50 (18%),https://www.betmma.tips/mma_event_betting_history.php?Event=510
215,2019-07-20,UFC on ESPN 4,8,5,+-100,$9.85 (8%),$7.80 (6%),https://www.betmma.tips/mma_event_betting_history.php?Event=487
214,2019-07-13,UFC Fight Night 155,4,8,+-100,$-55.90 (-47%),$102.30 (85%),https://www.betmma.tips/mma_event_betting_history.php?Event=490
213,2019-07-06,UFC 239,9,3,-170,$1.15 (1%),$0.70 (1%),https://www.betmma.tips/mma_event_betting_history.php?Event=470
212,2019-06-29,UFC on ESPN 3,10,2,-172,$27.67 (23%),$-60.00 (-50%),https://www.betmma.tips/mma_event_betting_history.php?Event=476
211,2019-06-22,UFC Fight Night 154,7,4,-117,$-0.27 (-0%),$7.30 (7%),https://www.betmma.tips/mma_event_betting_history.php?Event=475
210,2019-06-08,UFC 238,9,3,-149,$17.92 (14%),$-44.50 (-34%),https://www.betmma.tips/mma_event_betting_history.php?Event=469
209,2019-06-01,UFC Fight Night 153,6,6,+106,$-16.17 (-13%),$48.00 (40%),https://www.betmma.tips/mma_event_betting_history.php?Event=465
208,2019-05-18,UFC Fight Night 152,7,6,-145,$-39.60 (-30%),$38.40 (30%),https://www.betmma.tips/mma_event_betting_history.php?Event=462
207,2019-05-11,UFC 237,9,3,-142,$24.41 (20%),$-40.40 (-34%),https://www.betmma.tips/mma_event_betting_history.php?Event=447
206,2019-05-04,UFC Fight Night 150,7,5,-139,$-14.49 (-12%),$-8.00 (-7%),https://www.betmma.tips/mma_event_betting_history.php?Event=458
