,Fighter,Weight class,Method,Round,Time,location,date,fighturl,eventurl
0,Conor McGregor  Donald Cerrone,Welterweight,KO/TKO  Kick,1,0:40,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/eed6c9aff2234b7a,http://ufcstats.com/event-details/0c1773639c795466
1,Holly Holm  Raquel Pennington,Women's Bantamweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/36032308b7e86fd0,http://ufcstats.com/event-details/0c1773639c795466
2,Aleksei Oleinik  Maurice Greene,Heavyweight,SUB  Armbar,2,4:38,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/702759500d47a059,http://ufcstats.com/event-details/0c1773639c795466
3,Brian Kelleher  Ode Osbourne,Bantamweight,SUB  Guillotine Choke,1,2:49,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/4eff0432bd364a23,http://ufcstats.com/event-details/0c1773639c795466
4,Diego Ferreira  Anthony Pettis,Lightweight,SUB  Rear Naked Choke,2,1:46,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/32a8f38bd1d46e3e,http://ufcstats.com/event-details/0c1773639c795466
5,Roxanne Modafferi  Maycee Barber,Women's Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/760b5b16b4931a77,http://ufcstats.com/event-details/0c1773639c795466
6,Sodiq Yusuff  Andre Fili,Featherweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/5868c154789648f0,http://ufcstats.com/event-details/0c1773639c795466
7,Askar Askarov  Tim Elliott,Flyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/ff467a5f06a91a0f,http://ufcstats.com/event-details/0c1773639c795466
8,Drew Dober  Nasrat Haqparast,Lightweight,KO/TKO  Punch,1,1:10,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/63dd38f0dcc2ee88,http://ufcstats.com/event-details/0c1773639c795466
9,Aleksa Camur  Justin Ledet,Light Heavyweight,U-DEC,3,5:00,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/6087c50c5f95a677,http://ufcstats.com/event-details/0c1773639c795466
10,Sabina Mazo  JJ Aldrich,Women's Flyweight,S-DEC,3,5:00,"Las Vegas, Nevada, USA","January 18, 2020",http://ufcstats.com/fight-details/96fe84d051847591,http://ufcstats.com/event-details/0c1773639c795466
