,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,W_L_FIGHTERS
0,Frankie Edgar Chan Sung Jung,0  1,9 of 14  46 of 60,64%  76%,9 of 14  79 of 97,0 of 2  0 of 0,0%  0%,0  0,0  1,0  0,9 of 14  46 of 60,6 of 11  46 of 60,1 of 1  0 of 0,2 of 2  0 of 0,9 of 14  8 of 18,0 of 0  0 of 0,0 of 0  38 of 42,Chan Sung Jung  Frankie Edgar
1,Volkan Oezdemir Aleksandar Rakic,0  0,63 of 144  75 of 147,43%  51%,118 of 199  87 of 162,0 of 0  1 of 9,0%  11%,0  1,0  0,0  0,63 of 144  75 of 147,28 of 105  49 of 116,14 of 18  16 of 18,21 of 21  10 of 13,47 of 122  57 of 126,16 of 22  18 of 21,0 of 0  0 of 0,Volkan Oezdemir  Aleksandar Rakic
2,Dooho Choi Charles Jourdain,1  2,42 of 94  64 of 129,44%  49%,44 of 96  75 of 140,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,42 of 94  64 of 129,30 of 80  38 of 84,9 of 11  23 of 37,3 of 3  3 of 8,36 of 80  52 of 115,3 of 8  4 of 4,3 of 6  8 of 10,Charles Jourdain  Dooho Choi
3,Da-Un Jung Mike Rodriguez,1  0,5 of 10  4 of 8,50%  50%,5 of 10  4 of 8,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,5 of 10  4 of 8,5 of 10  0 of 1,0 of 0  2 of 2,0 of 0  2 of 5,1 of 6  4 of 8,0 of 0  0 of 0,4 of 4  0 of 0,Da-Un Jung  Mike Rodriguez
4,Junyong Park Marc-Andre Barriault,0  0,77 of 187  51 of 160,41%  31%,83 of 193  57 of 166,5 of 10  0 of 2,50%  0%,0  0,0  0,0  0,77 of 187  51 of 160,59 of 166  22 of 119,12 of 15  8 of 11,6 of 6  21 of 30,69 of 174  49 of 155,8 of 13  2 of 5,0 of 0  0 of 0,Junyong Park  Marc-Andre Barriault
5,Kyung Ho Kang Liu Pingyuan,0  0,20 of 40  25 of 53,50%  47%,108 of 153  114 of 149,3 of 7  0 of 0,42%  0%,0  0,2  0,0  0,20 of 40  25 of 53,17 of 37  16 of 42,2 of 2  2 of 2,1 of 1  7 of 9,8 of 26  8 of 33,0 of 0  0 of 0,12 of 14  17 of 20,Kyung Ho Kang  Liu Pingyuan
6,Ciryl Gane Tanner Boser,0  0,65 of 160  32 of 104,40%  30%,65 of 160  32 of 104,0 of 1  0 of 0,0%  0%,0  0,0  0,0  0,65 of 160  32 of 104,36 of 125  13 of 83,22 of 27  5 of 6,7 of 8  14 of 15,57 of 151  32 of 104,8 of 9  0 of 0,0 of 0  0 of 0,Ciryl Gane  Tanner Boser
7,SeungWoo Choi Suman Mokhtarian,1  0,95 of 187  33 of 79,50%  41%,158 of 254  67 of 115,0 of 0  0 of 1,0%  0%,0  0,2  0,0  0,95 of 187  33 of 79,66 of 151  14 of 47,26 of 33  8 of 19,3 of 3  11 of 13,48 of 112  29 of 74,25 of 39  2 of 3,22 of 36  2 of 2,SeungWoo Choi  Suman Mokhtarian
8,Dong Hyun Ma Omar Morales,0  1,15 of 56  32 of 89,26%  35%,21 of 63  60 of 123,0 of 0  1 of 1,0%  100%,0  0,0  3,0  0,15 of 56  32 of 89,6 of 43  22 of 78,2 of 5  9 of 10,7 of 8  1 of 1,15 of 56  20 of 69,0 of 0  0 of 0,0 of 0  12 of 20,Omar Morales  Dong Hyun Ma
9,Alexandre Pantoja Matt Schnell,1  0,34 of 62  20 of 52,54%  38%,36 of 64  35 of 68,1 of 1  0 of 1,100%  0%,0  0,1  0,0  0,34 of 62  20 of 52,32 of 60  16 of 43,0 of 0  2 of 6,2 of 2  2 of 3,27 of 54  18 of 50,0 of 0  0 of 0,7 of 8  2 of 2,Alexandre Pantoja  Matt Schnell
10,Raoni Barcelos Said Nurmagomedov,0  0,42 of 100  55 of 172,42%  31%,52 of 112  77 of 200,2 of 5  0 of 2,40%  0%,0  0,4  0,0  0,42 of 100  55 of 172,16 of 61  24 of 131,8 of 16  10 of 18,18 of 23  21 of 23,32 of 85  49 of 162,5 of 9  2 of 5,5 of 6  4 of 5,Raoni Barcelos  Said Nurmagomedov
