,winner,loser,time,weightclass,method,location,date,KDpm_w,KDpm_l,KDpm_ratio_w,KDpm_ratio_l,SLPM_w,SLPM_l,SLPMratio_w,SLPMratio_l,Str_Acc_w,Str_Acc_l,Str_Acc_ratio_w,Str_Acc_ratio_l,SAPM_w,SAPM_l,SAPM_ratio_w,SAPM_ratio_l,Str_Def_w,Str_Def_l,TDPM_w,TDPM_l,TD_Acc_w,TD_Acc_l,TD_Def_w,TD_Def_l,SubPM_w,SubPM_l,PassPM_w,PassPM_l,RevPM_w,RevPM_l,Head_SLPM_w,Head_SLPM_l,Body_SLPM_w,Body_SLPM_l,Leg_SLPM_w,Leg_SLPM_l,Dist_SLPM_w,Dist_SLPM_l,Clinch_SLPM_w,Clinch_SLPM_l,Ground_SLPM_w,Ground_SLPM_l,Str_Att_w,Str_Att_l,TD_Att_w,TD_Att_l
0,Conor-McGregor,Donald-Cerrone,0.6666666666666666,Welterweight,KO/TKO  Kick,"Las Vegas, Nevada, USA",2020-01-18,1.5,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.7307692307692307,0.0,0.0,0.0,0.0,28.5,0.0,0.0,1.0,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,0.0,19.5,0.0,26.0,1.0,0.0,0.0
1,Holly-Holm,Raquel-Pennington,7.0,Women's Bantamweight,U-DEC,"Las Vegas, Nevada, USA",2020-01-18,0.0,0.0,0.0,0.0,4.285714285714286,5.428571428571429,0.7894736842105262,1.2666666666666668,0.4838709677419355,0.48717948717948717,0.9932088285229203,1.0068376068376068,5.428571428571429,4.285714285714286,1.2666666666666668,0.7894736842105262,0.5128205128205128,0.5161290322580645,0.0,0.14285714285714285,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,1.2857142857142858,1.2857142857142858,3.857142857142857,1.2857142857142858,0.2857142857142857,2.857142857142857,1.4285714285714286,1.4285714285714286,4.0,0.0,0.0,62.0,78.0,3.0,2.0
2,Aleksei-Oleinik,Maurice-Greene,5.633333333333333,Heavyweight,SUB  Armbar,"Las Vegas, Nevada, USA",2020-01-18,0.0,0.0,0.0,0.0,1.2426035502958581,2.307692307692308,0.5384615384615384,1.8571428571428572,0.3181818181818182,0.4482758620689655,0.7097902097902098,1.4088669950738917,2.307692307692308,1.2426035502958581,1.8571428571428572,0.5384615384615384,0.5517241379310345,0.6818181818181818,0.5325443786982249,0.0,1.0,0.0,0.0,0.0,0.5325443786982249,0.0,0.7100591715976332,0.0,0.0,0.0,0.7100591715976332,1.775147928994083,0.3550295857988166,0.1775147928994083,0.1775147928994083,0.3550295857988166,0.7100591715976332,1.775147928994083,0.0,0.5325443786982249,0.5325443786982249,0.0,22.0,29.0,3.0,0.0
3,Brian-Kelleher,Ode-Osbourne,2.8166666666666664,Bantamweight,SUB  Guillotine Choke,"Las Vegas, Nevada, USA",2020-01-18,0.0,0.0,0.0,0.0,2.4852071005917162,3.1952662721893494,0.7777777777777778,1.2857142857142858,0.5833333333333334,0.6428571428571429,0.9074074074074074,1.1020408163265307,3.1952662721893494,2.4852071005917162,1.2857142857142858,0.7777777777777778,0.35714285714285715,0.4166666666666667,0.3550295857988166,0.0,0.5,0.0,0.0,0.5,0.3550295857988166,0.0,0.3550295857988166,0.0,0.0,0.0,1.775147928994083,3.1952662721893494,0.0,0.0,0.7100591715976332,0.0,1.0650887573964498,1.0650887573964498,0.0,0.3550295857988166,1.4201183431952664,1.775147928994083,12.0,14.0,2.0,0.0
4,Diego-Ferreira,Anthony-Pettis,2.7666666666666666,Lightweight,SUB  Rear Naked Choke,"Las Vegas, Nevada, USA",2020-01-18,0.0,0.0,0.0,0.0,9.036144578313253,7.951807228915663,1.1363636363636365,0.88,0.4716981132075472,0.4888888888888889,0.9648370497427101,1.0364444444444445,7.951807228915663,9.036144578313253,0.88,1.1363636363636365,0.5111111111111111,0.5283018867924528,1.0843373493975903,0.0,0.42857142857142855,0.0,0.0,0.5714285714285714,0.3614457831325301,0.0,1.4457831325301205,0.0,0.0,0.0,6.506024096385542,4.337349397590361,1.4457831325301205,3.253012048192771,1.0843373493975903,0.3614457831325301,5.783132530120482,6.506024096385542,1.0843373493975903,1.0843373493975903,2.1686746987951806,0.3614457831325301,53.0,45.0,7.0,0.0
5,Roxanne-Modafferi,Maycee-Barber,7.0,Women's Flyweight,U-DEC,"Las Vegas, Nevada, USA",2020-01-18,0.14285714285714285,0.0,0.0,0.0,2.7142857142857144,2.2857142857142856,1.1875000000000002,0.8421052631578947,0.4418604651162791,0.5161290322580645,0.8561046511627908,1.1680814940577249,2.2857142857142856,2.7142857142857144,0.8421052631578947,1.1875000000000002,0.4838709677419355,0.5581395348837209,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.4285714285714286,0.14285714285714285,0.14285714285714285,0.42857142857142855,2.4285714285714284,2.142857142857143,0.2857142857142857,0.14285714285714285,0.0,0.0,1.5714285714285714,1.2857142857142858,0.14285714285714285,0.0,1.0,1.0,43.0,31.0,1.0,0.0
6,Sodiq-Yusuff,Andre-Fili,7.0,Featherweight,U-DEC,"Las Vegas, Nevada, USA",2020-01-18,0.0,0.0,0.0,0.0,10.428571428571429,7.0,1.489795918367347,0.6712328767123288,0.47096774193548385,0.33793103448275863,1.3936800526662276,0.7175247992442135,7.0,10.428571428571429,0.6712328767123288,1.489795918367347,0.6620689655172414,0.5290322580645161,0.0,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,7.714285714285714,5.142857142857143,1.4285714285714286,1.4285714285714286,1.2857142857142858,0.42857142857142855,7.142857142857143,6.571428571428571,0.42857142857142855,0.42857142857142855,2.857142857142857,0.0,155.0,145.0,0.0,7.0
7,Askar-Askarov,Tim-Elliott,7.0,Flyweight,U-DEC,"Las Vegas, Nevada, USA",2020-01-18,0.0,0.0,0.0,0.0,10.428571428571429,6.714285714285714,1.553191489361702,0.6438356164383562,0.4866666666666667,0.42342342342342343,1.1493617021276596,0.8700481303221029,6.714285714285714,10.428571428571429,0.6438356164383562,1.553191489361702,0.5765765765765766,0.5133333333333333,0.0,0.42857142857142855,0.0,0.2727272727272727,0.7272727272727273,1.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,8.142857142857142,2.142857142857143,0.5714285714285714,2.5714285714285716,1.7142857142857142,2.0,8.142857142857142,5.0,1.1428571428571428,1.7142857142857142,1.1428571428571428,0.0,150.0,111.0,7.0,11.0
8,Drew-Dober,Nasrat-Haqparast,1.1666666666666667,Lightweight,KO/TKO  Punch,"Las Vegas, Nevada, USA",2020-01-18,0.8571428571428571,0.0,0.0,0.0,11.142857142857142,6.0,1.857142857142857,0.5384615384615384,0.5,0.6363636363636364,0.7857142857142857,1.2727272727272727,6.0,11.142857142857142,0.5384615384615384,1.857142857142857,0.36363636363636365,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,10.285714285714285,2.571428571428571,0.8571428571428571,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,6.0,0.0,0.0,9.428571428571429,0.0,26.0,11.0,0.0,0.0
9,Aleksa-Camur,Justin-Ledet,7.0,Light Heavyweight,U-DEC,"Las Vegas, Nevada, USA",2020-01-18,0.0,0.0,0.0,0.0,11.428571428571429,6.285714285714286,1.8181818181818183,0.5499999999999999,0.48484848484848486,0.33587786259541985,1.443526170798898,0.6927480916030534,6.285714285714286,11.428571428571429,0.5499999999999999,1.8181818181818183,0.6641221374045801,0.5151515151515151,0.14285714285714285,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.714285714285714,4.857142857142857,3.4285714285714284,1.4285714285714286,2.2857142857142856,0.0,8.857142857142858,5.428571428571429,2.4285714285714284,0.8571428571428571,0.14285714285714285,0.0,165.0,131.0,2.0,0.0
