,fight,date,fighter_1,cumultime_1,cumulStr_Att_fighter_1,cumulStr_Att_oponent_1,cumulTD_Att_fighter_1,cumulTD_Att_oponent_1,KDPM_1,KDPM_ratio_1,SLPM_1,SLPM_ratio_1,SAPM_1,SAPM_ratio_1,Str_Acc_1,Str_Def_1,TD_Acc_1,TD_Def_1,SubPM_1,PassPM_1,RevPM_1,Head_SLPM_1,Body_SLPM_1,Leg_SLPM_1,Dist_SLPM_1,Clinch_SLPM_1,Ground_SLPM_1,wins_1,losses_1,implied_prob_1,prev_1,height_1,weight_1,reach_1,age_1,stance_Orthodox_1,stance_Southpaw_1,stance_Switch_1,winner,fighter_2,cumultime_2,cumulStr_Att_fighter_2,cumulStr_Att_oponent_2,cumulTD_Att_fighter_2,cumulTD_Att_oponent_2,KDPM_2,KDPM_ratio_2,SLPM_2,SLPM_ratio_2,SAPM_2,SAPM_ratio_2,Str_Acc_2,Str_Def_2,TD_Acc_2,TD_Def_2,SubPM_2,PassPM_2,RevPM_2,Head_SLPM_2,Body_SLPM_2,Leg_SLPM_2,Dist_SLPM_2,Clinch_SLPM_2,Ground_SLPM_2,wins_2,losses_2,implied_prob_2,prev_2,height_2,weight_2,reach_2,age_2,stance_Orthodox_2,stance_Southpaw_2,stance_Switch_2
1218,Erick Silva vs Neil Magny,2015-08-23,Erick-Silva,28.55,233.0,377.0,8.0,33.0,0.06091221802806289,0.0,2.311680686452672,0.4140931559593945,1.8157242427275213,0.4208182452628946,0.02532882988891573,0.012280616153272928,0.2083333333333333,0.18001443001443002,0.0994491779328335,0.07869532784146302,0.0,1.6904044853069036,0.5640268334873301,0.057249367658437925,0.6653396959162499,0.2680433873984615,1.3782976031379606,6,4,0.6289308176100629,10,72.0,170.0,74.0,31.0,1,0,0,1,Neil-Magny,56.05,980.0,528.0,44.0,54.0,0.005049399962971067,0.0,1.7601722735638516,0.6333458656227192,0.7041477705729946,0.10133419882182963,0.004794404262081383,0.01233434549470294,0.12054473304473305,0.10441564608231274,0.005299370258167654,0.1036279236436451,0.009982583577588038,1.2662044183896697,0.2881535355326386,0.2058143196415436,0.8611614472868825,0.4279052220246875,0.4711056042522821,8,3,0.38167938931297707,11,75.0,170.0,80.0,28.0,1,0,0
512,Marc Diakiese vs Teemu Packalen,2017-03-18,Teemu-Packalen,7.4,72.0,86.0,11.0,1.0,0.33783783783783783,0.0,2.7027027027027017,0.10999371464487744,0.8301158301158301,0.16602316602316602,0.015544792184136447,0.0173734610123119,0.024793388429752063,1.0,0.3571428571428571,0.5115830115830116,0.0,2.5675675675675675,0.11583011583011582,0.019305019305019305,1.2162162162162162,0.0,1.4864864864864864,1,1,0.3436426116838488,2,73.0,155.0,75.0,29.0,1,0,0,1,Marc-Diakiese,12.666666666666668,150.0,105.0,14.0,9.0,0.0,0.0,0.770234409553295,0.21597744360902252,0.5181335692171605,0.2099780701754386,0.004523326572008114,0.011609088079676316,0.1043956043956044,0.14814814814814814,0.0,0.03383458646616541,0.0,0.557938965059708,0.10349402919062364,0.10880141530296326,0.5187969924812029,0.1923927465723131,0.05904467049977885,2,0,0.6666666666666666,2,70.0,155.0,73.0,24.0,1,0,0
397,Tecia Torres vs Weili Zhang,2019-03-02,Tecia-Torres,57.88333333333333,1143.0,1139.0,41.0,28.0,0.002468018592406729,0.0,1.4801996110140607,0.2665519431366861,1.0076941753669175,0.12124860507459215,0.0039246113130901724,0.005306923224344686,0.07723577235772358,0.1488095238095238,0.009173166449653332,0.03385335237372062,0.0,0.8849921536665546,0.2884305622240997,0.3067768951234064,1.1617815308485944,0.2302683187587977,0.08814976140666866,6,3,0.4166666666666667,9,61.0,115.0,60.0,29.0,1,0,0,1,Weili-Zhang,10.683333333333334,252.0,135.0,5.0,2.0,0.0,0.0,2.1732163404183225,0.6800036707350647,0.6833617882530426,0.060052272220758963,0.004653846370874455,0.007211683227943391,0.16666666666666666,1.0,0.05082556243426207,0.06419752588422864,0.0,1.329390990765681,0.3784689202694158,0.4653564293832258,1.0256477485990196,0.12972619745125938,1.0178423943680437,2,0,0.5555555555555556,2,64.0,115.0,63.0,29.0,0,0,1
780,Urijah Faber vs Ricky Simon,2019-07-13,Ricky-Simon,21.0,293.0,490.0,32.0,33.0,0.013605442176870748,0.0,0.7687074829931972,0.10959768164910423,1.020408163265306,0.20688038178234253,0.00408176035675015,0.004102096177229593,0.04486607142857143,0.05234159779614325,0.006802721088435374,0.05442176870748298,0.006802721088435374,0.4897959183673469,0.17006802721088435,0.10884353741496597,0.5714285714285714,0.0816326530612245,0.11564625850340135,3,0,0.7142857142857143,3,66.0,135.0,69.0,26.0,1,0,0,1,Urijah-Faber,98.06666666666666,1607.0,1919.0,89.0,48.0,0.011926972447601372,0.0,1.1799817812331936,0.35217989438377445,0.991396225471584,0.17351797654183074,0.0045908345734182975,0.005524628361557513,0.05152431837825097,0.091231684981685,0.022278724560844933,0.03127651715093889,0.006395051334084672,0.8817644648323595,0.21745742360849202,0.08075989279234225,0.7061657319559678,0.14994697472169666,0.3238690745555292,10,6,0.2380952380952381,16,66.0,135.0,67.0,40.0,1,0,0
23,Anthony Pettis vs Jim Miller,2017-07-08,Jim-Miller,132.85000000000002,1902.0,1869.0,74.0,61.0,0.008943926733760614,0.0,1.01809059568038,0.3018166460108227,0.897849877594832,0.268106541576287,0.00481996521513273,0.00837609758842184,0.13770913770913773,0.15673952641165756,0.05986797540384504,0.05809282452024304,0.005131622021328218,0.6378163139471561,0.1920705456134008,0.18820373611982336,0.6745691440268957,0.16114386250429047,0.18237758914919394,17,8,0.34129692832764497,25,68.0,155.0,71.0,33.0,0,1,0,1,Anthony-Pettis,59.15,867.0,945.0,15.0,65.0,0.01906741360835653,0.0,1.2419348159742198,0.21722416646111808,1.1721248961266366,0.1858965498297864,0.005827061467087183,0.006997070190704871,0.04444444444444444,0.0647902097902098,0.016318001984830934,0.024383209601454518,0.02801123376789224,0.8783346919086845,0.2271919853356824,0.13640813872985294,1.0582636999183237,0.04845070588575638,0.13522041017013994,6,5,0.6756756756756757,11,70.0,170.0,72.0,30.0,1,0,0
386,Yair Rodriguez vs Alex Caceres,2016-08-06,Alex-Caceres,69.1,1185.0,896.0,10.0,63.0,0.004243604670141345,0.0,1.393130648650055,0.3848103057685737,0.9788042882718788,0.1633006241449241,0.005182565379574779,0.008324171311897846,0.33333333333333337,0.08968253968253967,0.036435931673301516,0.037026616572442064,0.02106776140267974,0.863878706168947,0.33088371815072803,0.19836822433038007,1.1530086014052805,0.15359879956247868,0.08652324768229581,7,6,0.2898550724637681,13,70.0,145.0,73.0,28.0,0,1,0,1,Yair-Rodriguez,24.25,340.0,261.0,18.0,20.0,0.012688342585249802,0.0,1.1537328650730712,0.3082791688326144,0.6756542426645519,0.10195469781885792,0.0057098137277188645,0.009397129278924804,0.1419753086419753,0.14047619047619048,0.041237113402061855,0.0734111249575167,0.0117820324005891,0.6108530644613119,0.2832219327064687,0.2596578679052906,0.8274611985952192,0.08836524300441825,0.2379064234734337,4,0,0.7246376811594204,4,71.0,145.0,71.0,23.0,1,0,0
668,Donald Cerrone vs Mike Perry,2018-11-10,Mike-Perry,41.7,783.0,943.0,8.0,18.0,0.0646326557381432,0.0,1.6960115906146958,0.2691366949908965,1.6117902645217963,0.2011558989157176,0.004959434885492106,0.004951541692290308,0.2395833333333333,0.24166666666666664,0.0,0.0412121154976412,0.0,1.1035398169179702,0.22086268075971727,0.371609092937008,1.248994555869149,0.2547746974210866,0.19224233732446,5,3,0.6493506493506493,8,70.0,170.0,71.0,27.0,1,0,0,1,Donald-Cerrone,134.14999999999998,2471.0,2588.0,65.0,57.0,0.0379862642670488,0.022363026462914645,1.8206669751249984,0.2446039606586023,2.0526317833682173,0.3109095566113015,0.0056341942828081705,0.005881493357500661,0.12577533577533578,0.2458646616541353,0.019974572590715552,0.041051083191811936,0.002612520310134534,0.8957838636771164,0.4351113470734757,0.4897717643744068,1.5207677590102873,0.1454592606430034,0.15443995547170827,20,8,0.3636363636363637,28,73.0,155.0,73.0,35.0,1,0,0
335,Michael Johnson vs Khabib Nurmagomedov,2016-11-12,Michael-Johnson,80.46666666666665,1854.0,1482.0,13.0,58.0,0.03191869430883941,0.012427506213753109,1.4800572781431045,0.3089521962502199,1.2576262510065324,0.25312632327040085,0.002844578773496883,0.0061519028567224715,0.40384615384615385,0.1813660477453581,0.0,0.0,0.003550716061072317,0.8290709660416083,0.35889648626732124,0.2920898258341748,1.2148116630172154,0.14423387439871296,0.1210117407271758,9,6,0.2717391304347826,15,70.0,155.0,73.0,30.0,0,1,0,1,Khabib-Nurmagomedov,38.68333333333333,581.0,411.0,75.0,12.0,0.01974169619058381,0.0,1.443705442801733,0.8324863417495905,0.5221341480634599,0.0907617984215403,0.006002671216289893,0.012059415695824513,0.03643097643097643,0.3194444444444445,0.013640235318877729,0.14433145389696395,0.0,1.2475994740871277,0.11108750598125312,0.08501846273335244,0.469735223016145,0.0908159162732694,0.8831543035123188,7,0,0.7352941176470588,7,70.0,155.0,70.0,28.0,1,0,0
1082,Nate Marquardt vs Cezar Ferreira,2017-11-11,Nate-Marquardt,109.25,1108.0,1043.0,52.0,52.0,0.053191831821474064,0.0,1.1816797938333354,0.6518174154391817,0.7744724808652059,0.2286097871620533,0.011024636931288636,0.013551233149250216,0.1916208791208791,0.18215811965811965,0.02595715220179582,0.045872874365358536,0.0067137343683673825,0.7140600525344614,0.23293589881729784,0.23468384248157625,0.6794075031138485,0.2602502838638873,0.2420220068555997,12,11,0.2857142857142857,23,72.0,185.0,74.0,38.0,1,0,0,1,Cezar-Ferreira,54.55,463.0,511.0,29.0,13.0,0.00523765876653136,0.0,0.6857172305334345,0.19002259419066786,0.9247170827707192,0.2905685820442924,0.009524221038311187,0.012646511443781405,0.16149425287356325,0.36538461538461536,0.034398646307050175,0.04452261148167293,0.0,0.4465209629301705,0.1572642099197444,0.08193205768351977,0.5846224199137816,0.01991109973841693,0.08118371088123609,7,4,0.7299270072992701,11,73.0,185.0,78.0,32.0,0,1,0
1313,Joe Soto vs Brett Johns,2017-12-01,Joe-Soto,29.21666666666667,568.0,1115.0,17.0,20.0,0.0,0.0,1.2944964306415043,0.13413754768388478,2.2458906533189644,0.8025526973724312,0.0050861547613068655,0.0035373000022541103,0.14565826330532214,0.08712121212121211,0.06262459300828546,0.05123238255820075,0.0,1.0353657513172811,0.08971588186778805,0.16941479745643526,1.1566363201428325,0.014668731154755112,0.12319137934391684,3,3,0.3745318352059925,6,66.0,135.0,65.0,30.0,1,0,0,1,Brett-Johns,14.0,184.0,243.0,20.0,0.0,0.0,0.0,1.0714285714285714,0.20889487870619947,0.8265306122448979,0.1129737609329446,0.006255225752508362,0.005524523617820721,0.06666666666666668,,0.010204081632653059,0.0510204081632653,0.0,0.9897959183673468,0.0510204081632653,0.030612244897959183,0.4693877551020408,0.0,0.6020408163265306,2,0,0.6172839506172839,2,67.0,135.0,71.0,25.0,1,0,0
