,fight,date,fighter_1,cumultime_1,cumulStr_Att_fighter_1,cumulStr_Att_oponent_1,cumulTD_Att_fighter_1,cumulTD_Att_oponent_1,KDPM_1,KDPM_ratio_1,SLPM_1,SLPM_ratio_1,SAPM_1,SAPM_ratio_1,Str_Acc_1,Str_Def_1,TD_Acc_1,TD_Def_1,SubPM_1,PassPM_1,RevPM_1,Head_SLPM_1,Body_SLPM_1,Leg_SLPM_1,Dist_SLPM_1,Clinch_SLPM_1,Ground_SLPM_1,wins_1,losses_1,implied_prob_1,prev_1,height_1,weight_1,reach_1,age_1,stance_Orthodox_1,stance_Southpaw_1,stance_Switch_1,winner,fighter_2,cumultime_2,cumulStr_Att_fighter_2,cumulStr_Att_oponent_2,cumulTD_Att_fighter_2,cumulTD_Att_oponent_2,KDPM_2,KDPM_ratio_2,SLPM_2,SLPM_ratio_2,SAPM_2,SAPM_ratio_2,Str_Acc_2,Str_Def_2,TD_Acc_2,TD_Def_2,SubPM_2,PassPM_2,RevPM_2,Head_SLPM_2,Body_SLPM_2,Leg_SLPM_2,Dist_SLPM_2,Clinch_SLPM_2,Ground_SLPM_2,wins_2,losses_2,implied_prob_2,prev_2,height_2,weight_2,reach_2,age_2,stance_Orthodox_2,stance_Southpaw_2,stance_Switch_2
58,Soa Palelei vs Walt Harris,2014-11-07,Soa-Palelei,20.450000000000006,147.0,225.0,10.0,12.0,0.0,0.0,1.0156753337490596,0.2464897232623394,1.4376174073252788,0.796270345604395,0.020728177659915872,0.01150630455080583,0.325,0.2333333333333333,0.0,0.1316833202215831,0.0,0.6273546291369565,0.1854796924115861,0.2028410122005168,0.15080518843653146,0.4085159517830952,0.4563541935294328,3,2,0.5988023952095809,5,76.0,265.0,81.0,37.0,1,0,0,1,Walt-Harris,7.416666666666668,87.0,110.0,1.0,2.0,0.36211878009630816,0.0,3.906260032102729,1.556690500510725,0.9592295345104332,0.2594484167517875,0.010816334790351304,0.013506493506493506,0.0,0.25,0.0,0.0,0.0,1.7720706260032102,0.5162118780096308,1.6179775280898876,2.9354735152487965,0.0,0.9707865168539324,0,2,0.4098360655737705,2,77.0,250.0,77.0,31.0,0,1,0
207,Jumabieke Tuerxun vs Marcus Brimage,2014-11-07,Marcus-Brimage,29.11666666666667,615.0,616.0,19.0,11.0,0.03075634990474075,0.0,1.7400038811584404,0.20474477818182488,1.4926349526388822,0.15633094773690473,0.003339263880204387,0.005197243911844698,0.08187134502923976,0.18181818181818185,0.0,0.029438220623108996,0.0,1.4590226559572732,0.16322834270873127,0.11775288249243596,1.4488437687268951,0.08831466186932703,0.20284545056221875,3,2,0.8333333333333334,5,64.0,135.0,71.0,29.0,0,1,0,1,Jumabieke-Tuerxun,12.816666666666665,227.0,161.0,18.0,9.0,0.0,0.0,1.1363695641643785,0.42262678803641096,0.576408698295121,0.077625328414851,0.003847422662590792,0.008616250334437095,0.03611111111111112,0.09876543209876544,0.04024129875065671,0.06706883125109453,0.013413766250218909,0.5537330458245128,0.17626327603561462,0.4063732423042508,0.7305711975565655,0.21177781906000373,0.1940205475478092,0,2,0.1798561151079137,2,67.0,135.0,67.0,28.0,1,0,0
126,Michael Bisping vs Luke Rockhold,2014-11-07,Luke-Rockhold,7.183333333333334,38.0,41.0,1.0,1.0,0.055315683532828334,0.0,1.254519671437779,1.0672853828306264,0.7810838356089053,0.29002320185614844,0.05346260387811635,0.04486521181001284,0.0,1.0,0.1305104408352668,0.0,0.0,0.3311662632557485,0.6482306664003319,0.2751227417816988,0.8374912760535657,0.16594705059848494,0.2510813447857286,2,1,0.8130081300813008,3,75.0,205.0,77.0,30.0,0,1,0,1,Michael-Bisping,117.11666666666667,2754.0,2011.0,68.0,67.0,0.010076770299682337,0.0,1.7359391607144727,0.769309189563946,0.8727766098505044,0.11024152641312193,0.0031294744590843675,0.00716083292871861,0.10528617624205858,0.12364314789687925,0.008107440404521998,0.035290656253113166,0.005142502296337503,1.2848714710149902,0.2607603148062043,0.19030737489327795,1.2269523990779079,0.2321386465934525,0.2768481150431121,15,6,0.21008403361344533,21,73.0,185.0,75.0,35.0,1,0,0
372,Richie Vaculik vs Louis Smolka,2014-11-07,Louis-Smolka,14.0,290.0,369.0,24.0,3.0,0.0,0.0,1.0408163265306123,0.09345885093167702,1.5918367346938775,0.2183673469387755,0.002565070757714461,0.0030036877063964844,0.030952380952380964,0.3333333333333333,0.0,0.08163265306122447,0.010204081632653059,0.6530612244897959,0.2857142857142857,0.1020408163265306,0.6020408163265306,0.3469387755102041,0.09183673469387754,1,1,0.7575757575757576,2,69.0,135.0,68.0,23.0,1,0,0,1,Richie-Vaculik,11.716666666666667,87.0,88.0,18.0,2.0,0.0,0.0,0.8177688036345281,1.2162162162162158,0.4751253551699898,0.12012012012012015,0.014594594594594596,0.014430014430014432,0.05185185185185185,0.25,0.024385287543182282,0.1758239548829097,0.012192643771591141,0.5444036985788893,0.200209242426092,0.07315586262954682,0.28555774882722995,0.1640190630333833,0.3681919917739148,1,1,0.25,2,66.0,125.0,69.0,31.0,1,0,0
1172,Vik Grujic vs Chris Clements,2014-11-07,Vik-Grujic,11.916666666666668,67.0,105.0,2.0,7.0,0.0,0.0,0.28689954113682925,0.0853146853146853,0.8314397466939839,1.0969030969030968,0.007835820895522391,0.00819047619047619,0.5,0.09523809523809523,0.0,0.0,0.0,0.08716707021791767,0.1143940804957754,0.08533839042313618,0.12638209248378734,0.16051744865304185,0.0,1,1,0.5714285714285714,2,71.0,170.0,73.0,37.0,1,0,0,2,Chris-Clements,9.45,85.0,166.0,8.0,2.0,0.0863837598531476,0.0,1.4166936615916208,0.18674136321195145,1.7622287010042117,0.33520654638667063,0.014099285199029447,0.00633617852009285,0.1875,0.5,0.015117157974300832,0.20516142965122555,0.0,0.9977324263038548,0.2461937155814707,0.1727675197062952,1.1359464420688912,0.0431918799265738,0.237555339596156,1,1,0.4405286343612335,2,70.0,170.0,70.0,38.0,1,0,0
278,Ross Pearson vs Al Iaquinta,2014-11-07,Al-Iaquinta,30.166666666666664,732.0,706.0,15.0,30.0,0.012212852573422507,0.0,1.7743321916029131,0.2069383921303084,1.6304722835308072,0.22253270582872253,0.0033131159381367768,0.004663074060800622,0.016666666666666666,0.10694444444444444,0.02173517090644163,0.0,0.0,1.2059125089789553,0.3068652899633567,0.2615543926606013,1.6619240995495757,0.07178166410501392,0.04062642794832385,4,2,0.4,6,70.0,155.0,70.0,27.0,1,0,0,1,Ross-Pearson,65.7,1421.0,1305.0,35.0,47.0,0.0072571855138821376,0.0,1.5551157478905997,0.2543513045518888,1.3704318385583916,0.16353120391901546,0.003365359114055465,0.0056123552185931005,0.12312925170068027,0.16347517730496453,0.0,0.012195467823818031,0.0021743857360295715,0.922753380885572,0.3921815236950861,0.2401808433099415,1.1859152558047152,0.3434654941038681,0.025734997982016297,8,4,0.5988023952095809,12,68.0,155.0,69.0,30.0,1,0,0
407,Caio Magalhaes vs Trevor Smith,2014-11-08,Caio-Magalhaes,18.55,219.0,237.0,23.0,8.0,0.07351139426611125,0.0,1.8732580405858104,0.40967141573610577,1.1602479607046516,0.23038529305375666,0.008633938893766171,0.009818978173408552,0.049275362318840575,0.2083333333333333,0.07832349385333766,0.07960142118971672,0.0,1.2920120522611138,0.3912720008719256,0.18997398745277136,0.7982459988721834,0.5020114362267636,0.5730006054868636,3,1,0.6802721088435374,4,73.0,185.0,73.0,26.0,1,0,0,1,Trevor-Smith,21.75,285.0,279.0,18.0,11.0,0.0,0.0,1.3004926108374384,0.19819900878001967,1.2588943623426383,0.21367574856529106,0.007545777010833094,0.006221499416557677,0.029166666666666667,0.10909090909090907,0.013136288998357963,0.039408866995073885,0.0,0.5670498084291188,0.37657361795292826,0.3568691844553913,0.9195402298850576,0.3415435139573071,0.039408866995073885,2,2,0.3401360544217687,4,75.0,185.0,75.0,33.0,1,0,0
223,Leandro Silva vs Charlie Brenneman,2014-11-08,Leandro-Silva,14.0,127.0,159.0,14.0,5.0,0.0,0.0,0.7755102040816327,0.15981240981240982,0.7040816326530612,0.14604395604395606,0.009643406643135123,0.006409104522312069,0.03571428571428571,0.2,0.010204081632653059,0.040816326530612235,0.0,0.3469387755102041,0.1326530612244898,0.2959183673469388,0.6836734693877551,0.09183673469387754,0.0,0,2,0.6097560975609756,2,69.0,155.0,72.0,28.0,1,0,0,1,Charlie-Brenneman,40.88333333333333,231.0,229.0,48.0,11.0,0.01397705433579873,0.0,0.8466880174365514,0.4229960227058617,1.3384574874743898,0.6518420429957323,0.020701293587841,0.019674809478639785,0.06460813492063493,0.5,0.01397705433579873,0.14875209494043573,0.0034942635839496825,0.4054480646408897,0.3351178735794121,0.10612207921624962,0.23442335136022616,0.14998653563675987,0.4622781304395654,4,6,0.4,10,70.0,155.0,72.0,33.0,1,0,0
927,Ricardo Lamas vs Dennis Bermudez,2014-11-15,Dennis-Bermudez,46.46666666666667,933.0,735.0,58.0,30.0,0.02055459073015907,0.0430416068866571,1.4243380583571144,0.2484714345573748,1.1519754705060306,0.13752247732613684,0.003651652082384913,0.0063890684295550134,0.0660919540229885,0.18769841269841267,0.03499386952449294,0.0747459984675512,0.0076371150028571285,1.0450864747081683,0.15372321799018415,0.2255283656587617,0.6550592935393921,0.3079169931355452,0.4613617716821772,7,1,0.6289308176100629,8,66.0,155.0,66.0,27.0,1,0,0,2,Ricardo-Lamas,34.48333333333333,404.0,382.0,26.0,21.0,0.006192067617378381,0.0,0.7041409933911277,0.20853796701954608,0.8570274160876059,0.22501775265119933,0.005502955892981068,0.009150506338637848,0.09545454545454543,0.18333333333333326,0.013020191160079304,0.03578341116301317,0.004142788096388871,0.3394308069823073,0.14070922839434408,0.2240009580144764,0.5089513986426116,0.13717979665567054,0.05800979809284551,5,1,0.3703703703703704,6,68.0,145.0,71.0,32.0,1,0,0
565,Fabricio Werdum vs Mark Hunt,2014-11-15,Fabricio-Werdum,40.73333333333333,572.0,492.0,15.0,8.0,0.009952669527137609,0.0,1.2946428854830594,0.4461416942519965,1.114156552548566,0.2498066537757711,0.007180128821192009,0.0074274058885688094,0.05555555555555555,0.34375,0.003507131166705635,0.0283755612459906,0.0,0.9385925867375214,0.12684222537165155,0.2292080733738864,0.8203299085124537,0.19685640189649967,0.277456575074106,6,2,0.7874015748031495,8,76.0,231.0,77.0,37.0,1,0,0,1,Mark-Hunt,26.95000000000001,370.0,425.0,16.0,18.0,0.04009966881740218,0.0,1.1704480787434246,0.2397900209450361,1.6177543110324186,0.3247346502652254,0.006306399986892872,0.009703443968849342,0.008928571428571428,0.14351851851851852,0.0806166622493153,0.040418764908560834,0.00993904055128545,0.9966489070473844,0.0852548811732485,0.08854429052279185,1.0196937584550445,0.0509339817236889,0.09982033856469126,5,2,0.21978021978021967,7,70.0,265.0,72.0,40.0,1,0,0
