,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Andy Ogle Maximo Blanco,0  1,44 of 116  60 of 117,37%  51%,78 of 150  117 of 184,1 of 5  1 of 2,20%  50%,0  0,2  1,0  2,44 of 116  60 of 117,23 of 85  47 of 102,15 of 24  7 of 9,6 of 7  6 of 6,40 of 112  54 of 111,1 of 1  5 of 5,3 of 3  1 of 1
0,Viktor Pesta Ruslan Magomedov,0  0,26 of 84  47 of 117,30%  40%,46 of 120  51 of 121,1 of 9  0 of 0,11%  0%,0  0,1  0,0  0,26 of 84  47 of 117,20 of 77  36 of 103,6 of 7  5 of 6,0 of 0  6 of 8,14 of 65  45 of 114,7 of 11  1 of 2,5 of 8  1 of 1
0,Renan Barao TJ Dillashaw,0  2,64 of 273  140 of 309,23%  45%,68 of 277  169 of 344,0 of 0  0 of 3,0%  0%,0  2,0  2,0  0,64 of 273  140 of 309,42 of 226  99 of 260,13 of 34  17 of 21,9 of 13  24 of 28,61 of 270  120 of 277,3 of 3  1 of 2,0 of 0  19 of 30
0,Daniel Cormier Dan Henderson,0  0,50 of 80  6 of 18,62%  33%,131 of 173  12 of 25,3 of 3  0 of 1,100%  0%,2  0,11  0,0  0,50 of 80  6 of 18,35 of 64  1 of 13,15 of 16  3 of 3,0 of 0  2 of 2,4 of 17  3 of 13,0 of 0  2 of 3,46 of 63  1 of 2
0,Robbie Lawler Jake Ellenberger,1  0,68 of 155  29 of 89,43%  32%,72 of 159  30 of 90,0 of 1  2 of 3,0%  66%,0  0,0  0,1  0,68 of 155  29 of 89,57 of 141  22 of 81,11 of 14  5 of 6,0 of 0  2 of 2,47 of 122  19 of 77,9 of 14  8 of 9,12 of 19  2 of 3
0,Takeya Mizugaki Francisco Rivera,1  0,35 of 135  41 of 104,25%  39%,67 of 179  61 of 124,0 of 3  3 of 4,0%  75%,0  1,3  0,0  0,35 of 135  41 of 104,33 of 132  31 of 93,1 of 1  6 of 7,1 of 2  4 of 4,18 of 101  34 of 95,0 of 2  5 of 6,17 of 32  2 of 3
0,Jamie Varner James Krause,0  0,7 of 30  22 of 51,23%  43%,9 of 33  32 of 66,1 of 1  0 of 0,100%  0%,0  0,1  1,0  1,7 of 30  22 of 51,6 of 25  12 of 36,1 of 5  5 of 6,0 of 0  5 of 9,3 of 19  18 of 40,2 of 7  1 of 5,2 of 4  3 of 6
0,Michael Chiesa Francisco Trinaldo,0  0,19 of 70  13 of 34,27%  38%,121 of 208  23 of 44,2 of 7  0 of 0,28%  0%,0  1,3  0,0  0,19 of 70  13 of 34,14 of 63  7 of 27,4 of 6  4 of 5,1 of 1  2 of 2,10 of 48  11 of 32,1 of 1  2 of 2,8 of 21  0 of 0
0,Tony Ferguson Katsunori Kikuno,1  0,38 of 67  22 of 44,56%  50%,40 of 69  23 of 46,1 of 2  0 of 0,50%  0%,1  0,1  0,0  1,38 of 67  22 of 44,35 of 63  17 of 37,1 of 2  4 of 5,2 of 2  1 of 2,37 of 66  22 of 44,1 of 1  0 of 0,0 of 0  0 of 0
0,Chris Holdsworth Chico Camus,0  0,26 of 88  25 of 59,29%  42%,140 of 225  33 of 67,4 of 6  0 of 0,66%  0%,2  0,13  0,0  0,26 of 88  25 of 59,20 of 76  21 of 51,5 of 10  1 of 4,1 of 2  3 of 4,24 of 85  25 of 58,1 of 1  0 of 0,1 of 2  0 of 1
0,Al Iaquinta Mitch Clarke,0  0,13 of 19  8 of 21,68%  38%,31 of 40  20 of 34,1 of 1  0 of 0,100%  0%,2  1,6  0,0  0,13 of 19  8 of 21,10 of 16  3 of 12,3 of 3  2 of 5,0 of 0  3 of 4,6 of 8  8 of 20,0 of 0  0 of 0,7 of 11  0 of 1
0,Anthony Njokuani Vinc Pichel,0  0,24 of 77  57 of 113,31%  50%,30 of 84  98 of 159,0 of 0  8 of 11,0%  72%,0  0,0  8,0  0,24 of 77  57 of 113,16 of 63  22 of 68,8 of 13  13 of 18,0 of 1  22 of 27,20 of 71  13 of 57,3 of 5  25 of 31,1 of 1  19 of 25
0,Sam Sicilia Aaron Phillips,0  0,37 of 68  18 of 40,54%  45%,95 of 129  109 of 137,5 of 8  0 of 0,62%  0%,1  1,7  1,1  1,37 of 68  18 of 40,28 of 53  5 of 23,8 of 13  12 of 14,1 of 2  1 of 3,12 of 31  9 of 26,4 of 6  3 of 6,21 of 31  6 of 8
0,David Michaud Jingliang Li,0  0,41 of 121  61 of 156,33%  39%,69 of 152  84 of 180,3 of 8  2 of 6,37%  33%,2  0,2  3,0  0,41 of 121  61 of 156,29 of 100  46 of 133,8 of 13  3 of 5,4 of 8  12 of 18,28 of 100  38 of 116,7 of 12  7 of 13,6 of 9  16 of 27
0,Matt Brown Erick Silva,0  1,118 of 166  25 of 54,71%  46%,161 of 213  39 of 71,5 of 5  0 of 3,100%  0%,4  1,2  1,0  0,118 of 166  25 of 54,101 of 144  17 of 40,16 of 21  6 of 12,1 of 1  2 of 2,44 of 70  13 of 41,37 of 48  3 of 4,37 of 48  9 of 9
0,Costas Philippou Lorenz Larkin,1  0,15 of 44  16 of 30,34%  53%,31 of 63  19 of 34,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,15 of 44  16 of 30,9 of 30  8 of 21,2 of 7  2 of 3,4 of 7  6 of 6,11 of 39  11 of 23,3 of 4  5 of 7,1 of 1  0 of 0
0,Erik Koch Daron Cruickshank,0  1,6 of 21  24 of 45,28%  53%,6 of 21  26 of 47,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,6 of 21  24 of 45,1 of 14  21 of 36,1 of 1  3 of 7,4 of 6  0 of 2,6 of 21  6 of 22,0 of 0  0 of 0,0 of 0  18 of 23
0,Neil Magny Tim Means,0  0,29 of 77  30 of 66,37%  45%,52 of 105  53 of 89,4 of 9  3 of 4,44%  75%,0  1,4  0,0  0,29 of 77  30 of 66,14 of 52  18 of 46,11 of 18  5 of 13,4 of 7  7 of 7,21 of 64  15 of 46,7 of 11  8 of 10,1 of 2  7 of 10
0,Soa Palelei Ruan Potts,0  0,5 of 7  0 of 3,71%  0%,19 of 21  5 of 8,1 of 1  0 of 0,100%  0%,0  2,3  0,0  1,5 of 7  0 of 3,5 of 7  0 of 1,0 of 0  0 of 0,0 of 0  0 of 2,0 of 1  0 of 3,0 of 0  0 of 0,5 of 6  0 of 0
0,Chris Cariaso Louis Smolka,0  0,64 of 124  42 of 97,51%  43%,86 of 149  79 of 135,2 of 2  1 of 10,100%  10%,4  0,1  1,0  1,64 of 124  42 of 97,23 of 68  20 of 70,22 of 36  13 of 17,19 of 20  9 of 10,40 of 86  18 of 60,23 of 34  18 of 28,1 of 4  6 of 9
0,Ed Herman Rafael Natal,0  0,51 of 87  35 of 73,58%  47%,78 of 117  71 of 114,1 of 4  1 of 6,25%  16%,0  0,0  0,0  0,51 of 87  35 of 73,22 of 54  15 of 41,9 of 9  8 of 17,20 of 24  12 of 15,24 of 51  19 of 46,21 of 29  8 of 11,6 of 7  8 of 16
0,Kyoji Horiguchi Darrell Montague,1  0,65 of 147  26 of 105,44%  24%,82 of 169  35 of 114,2 of 2  1 of 2,100%  50%,0  2,0  0,0  0,65 of 147  26 of 105,51 of 122  16 of 80,12 of 22  5 of 18,2 of 3  5 of 7,38 of 105  25 of 101,3 of 4  1 of 3,24 of 38  0 of 1
