,TEAM,COUNTRY,WT CLASS
tito-ortiz,Team Punishment,USA,Catch Weight
chuck-liddell,The Pit,USA,Middleweight
forrest-griffin,Xtreme Couture,USA,Light Heavyweight
keith-jardine,Jackson-Wink MMA,USA,Light Heavyweight
chris-leben,Icon Fitness MMA,USA,Middleweight
jason-macdonald,Pure Fitness and MMA,Canada,Middleweight
andrei-arlovski,Jackson-Wink MMA,Belarus,Heavyweight
marcio-cruz,,Brazil,Heavyweight
michael-bisping,Wolfslair Academy,England,Light Heavyweight
eric-schafer,,USA,Light Heavyweight
thiago-alves,American Top Team,Brazil,Welterweight
tony-desouza,,Peru,Welterweight
gabriel-gonzaga,Team Link,Brazil,Heavyweight
carmelo-marrero,American Top Team,USA,Heavyweight
yushin-okami,Wajutsu Keishukai Tokyo,Japan,Welterweight
rory-singer,,USA,Light Heavyweight
anthony-perosh,Sinosic Perosh Martial Arts,Australia,Light Heavyweight
christian-wellisch,AKA (American Kickboxing Academy),Hungary,
assuerio-silva,,Brazil,Open Weight
tim-sylvia,,USA,Heavyweight
james-irvin,,USA,Light Heavyweight
stephan-bonnar,One Kick's MMA,USA,Light Heavyweight
joshua-burkman,The Pit Elevated Fight Team,USA,Welterweight
drew-fickett,,,Welterweight
jorge-rivera,,USA,Middleweight
melvin-guillard,Grudge Training Center,USA,Lightweight
josh-neer,Cesar Gracie Jiu-Jitsu,USA,Lightweight
jonathan-goulet,,Canada,
duane-ludwig,Grudge Training Center,USA,Welterweight
spencer-fisher,Miletich Martial Arts,USA,Lightweight
aaron-riley,Jackson-Wink MMA,USA,Lightweight
alex-karalexis,Team Sityodtong,USA,Welterweight
jason-von-flue,,,Lightweight
randy-couture,Xtreme Couture,USA,Heavyweight
justin-eilers,,USA,
brandon-vera,Alliance MMA,USA,Heavyweight
frank-mir,Frank Mir Gym,USA,Heavyweight
mike-van-arsdale,,USA,Light Heavyweight
renato-sobral,Reign MMA,Brazil,Light Heavyweight
nick-diaz,Cesar Gracie Jiu-Jitsu,USA,Middleweight
joe-riggs,MMA LAB,USA,Middleweight
alessio-sakara,American Top Team,Italy,Middleweight
elvis-sinosic,,Australia,Middleweight
gilbert-aldana,,USA,Heavyweight
paul-buentello,Grudge Training Center,USA,Heavyweight
branden-lee-hinkle,,,Middleweight
jeff-monson,American Top Team,USA,Heavyweight
mike-whitehead,Xtreme Couture,,Heavyweight
rich-franklin,,USA,Middleweight
david-loiseau,TriStar Gym,Canada,Middleweight
steve-vigneault,,,Welterweight
mike-swick,AKA (American Kickboxing Academy),USA,Middleweight
bj-penn,BJ Penn MMA,USA,Lightweight
georges-st-pierre,TriStar Gym,Canada,Welterweight
joe-doerksen,,Canada,Welterweight
nate-marquardt,High Altitude Martial Arts,USA,Middleweight
mark-hominick,Team Tompkins,Canada,Featherweight
yves-edwards,American Top Team,BAHAMAS,Lightweight
sam-stout,Team Tompkins,Canada,Lightweight
